property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hotel Star View Bahawalpur,https://www.booking.com/hotel/pk/star-inn-bahawalpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1310804305_403853933_2_0_0&highlighted_blocks=1310804305_403853933_2_0_0&matching_block_id=1310804305_403853933_2_0_0&sr_pri_blocks=1310804305_403853933_2_0_0__415000&from=searchresults,4150,5.1,62.0,Bahawalpur,1.4,Deluxe Twin Room,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/621802989.webp?k=4ec474249ea3125b16ebc2f9fa01485ff9a25ed0ad28bda5360e3491a6f8e097&o=,8,Bahawalpur
Royal Mark Lodges,https://www.booking.com/hotel/pk/royal-lodges-bahawalpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1275690403_400604044_2_1_0_636642&highlighted_blocks=1275690403_400604044_2_1_0_636642&matching_block_id=1275690403_400604044_2_1_0_636642&sr_pri_blocks=1275690403_400604044_2_1_0_636642_850000&from=searchresults,8500,8.4,23.0,Bahawalpur,2.7,Large Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/881316326.webp?k=965b17ef49a453004ef99750919ea4c5ab823ede248660dd0f2fc6f2b577e8e6&o=,13,Bahawalpur
The Edition Signature,https://www.booking.com/hotel/pk/the-edition-signature.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1636319401_434018106_2_1_0&highlighted_blocks=1636319401_434018106_2_1_0&matching_block_id=1636319401_434018106_2_1_0&sr_pri_blocks=1636319401_434018106_2_1_0__895000&from=searchresults,8950,8.3,7.0,Bahawalpur,2.6,Deluxe Double Room,1 large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/864817494.webp?k=dd3de3c5003ad06a3e0d02071a18fabfa0ee4819ffcaddb26901396f823ed34f&o=,10,Bahawalpur
Hotel One Bahawalpur,https://www.booking.com/hotel/pk/one-bahawalpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=41645004_0_2_0_0&highlighted_blocks=41645004_0_2_0_0&matching_block_id=41645004_0_2_0_0&sr_pri_blocks=41645004_0_2_0_0__1585582&from=searchresults,15856,8.6,81.0,Bahawalpur,5.3,Deluxe Twin Room,2 single beds,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/238889828.webp?k=9b7edcc6c274bf30f9db743e8906742082c2b2ba00d3645dd283bbb243d8263d&o=,9,Bahawalpur
Regal Guest House,https://www.booking.com/hotel/pk/regal-guest-house-bahawalpur1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1199718003_392244116_0_2_0&highlighted_blocks=1199718003_392244116_0_2_0&matching_block_id=1199718003_392244116_0_2_0&sr_pri_blocks=1199718003_392244116_0_2_0__420000&from=searchresults,4200,8.7,8.0,Bahawalpur,3.0,Triple Room with Bath,3 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/808167609.webp?k=0fca75600ddb4396bc77ffbb2a6a17dda0d519138ca30c7823972983ad13f431&o=,10,Bahawalpur
Falettis Grand Bahawalpur,https://www.booking.com/hotel/pk/falettis-grand-bahawalpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1055314805_377713683_2_9_0&highlighted_blocks=1055314805_377713683_2_9_0&matching_block_id=1055314805_377713683_2_9_0&sr_pri_blocks=1055314805_377713683_2_9_0__1500000&from=searchresults,15000,7.9,112.0,Bahawalpur,8.8,Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/482068981.webp?k=eb0f95ef9b1541e102becdd1bc92d3bacf4fc45fa157820058e79131c24e4b62&o=,12,Bahawalpur
HOTEL STATE RESIDENCY,https://www.booking.com/hotel/pk/state-residency.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=741214602_0_2_0_0&highlighted_blocks=741214602_0_2_0_0&matching_block_id=741214602_0_2_0_0&sr_pri_blocks=741214602_0_2_0_0__619672&from=searchresults,6197,8.1,56.0,Bahawalpur,1.0,Standard Double Room,2 large double beds,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/891261199.webp?k=8c7f4e05e89adccfed4d779f7df9d0cd79a8b53d4a22928a5b8255c417e1e27f&o=,9,Bahawalpur
Pak Continental Hotel,https://www.booking.com/hotel/pk/pak-continental-bahawalpur1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1029596501_375660492_2_0_0&highlighted_blocks=1029596501_375660492_2_0_0&matching_block_id=1029596501_375660492_2_0_0&sr_pri_blocks=1029596501_375660492_2_0_0__445500&from=searchresults,4455,5.9,29.0,Bahawalpur,0.8,Standard Double Room,1 double bed,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/520464903.webp?k=064cb5a13fb72a0e06908c666b25ad7c310688dd8bc52004687146c4c82fb3ec&o=,6,Bahawalpur
Motel Paradise inn,https://www.booking.com/hotel/pk/motel-paradise-inn-bahawalpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1000016102_372825222_3_2_0&highlighted_blocks=1000016102_372825222_3_2_0&matching_block_id=1000016102_372825222_3_2_0&sr_pri_blocks=1000016102_372825222_3_2_0__630000&from=searchresults,6300,7.1,43.0,Bahawalpur,1.6,Deluxe Triple Room,"2 beds (1 single, 1 large double)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/454566298.webp?k=7b8668a457080442a36ce1ab9b8e99ae31339989d3880a2b4a492c590a778b21&o=,8,Bahawalpur
Street 7 Apartment,https://www.booking.com/hotel/pk/street-7-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTU0NjBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKuj8LTBsACAdICJDZhZmNmMmM3LTVjNzItNDMyNi1hY2JlLTkwMGQ1NWNjOWU2Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2755460&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6f0a56d72ecf017d&srepoch=1785759666&all_sr_blocks=1277672401_432590807_2_32_0_688378&highlighted_blocks=1277672401_432590807_2_32_0_688378&matching_block_id=1277672401_432590807_2_32_0_688378&sr_pri_blocks=1277672401_432590807_2_32_0_688378_862500&from=searchresults,8625,9.0,25.0,Bahawalpur,2.6,One-Bedroom Apartment,"8 beds (4 singles, 4 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/744014660.webp?k=5c065a6d385fdef719736b0a3e4837116f1765a788a64876fe18589564ddf520&o=,13,Bahawalpur
