property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Diera room,https://www.booking.com/hotel/pk/diera-room.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1570401901_428123618_2_1_0&highlighted_blocks=1570401901_428123618_2_1_0&matching_block_id=1570401901_428123618_2_1_0&sr_pri_blocks=1570401901_428123618_2_1_0__300000&from=searchresults,3000,,,Harīpur,1.5,One-Bedroom Apartment,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/813703608.webp?k=386b509362d372ed95e7e42fa4f0f412413be5dd1d4a53a98e35fc0146634f7f&o=,4,Haripur
Sunset Creek,https://www.booking.com/hotel/pk/sunset-creek-haripur1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1680657001_439823309_2_1_0&highlighted_blocks=1680657001_439823309_2_1_0&matching_block_id=1680657001_439823309_2_1_0&sr_pri_blocks=1680657001_439823309_2_1_0__1156000&from=searchresults,11560,,,Harīpur,19.6,Double Room with Lake View,1 single bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/891249710.webp?k=7c5f479306a2df6843e3ca7c337e962ab1c32fb21a0d0cc6d517d66cea683695&o=,5,Haripur
Pine Tree Resort,https://www.booking.com/hotel/pk/pine-tree-resort-haripur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1672658901_439031017_10_1_0&highlighted_blocks=1672658901_439031017_10_1_0&matching_block_id=1672658901_439031017_10_1_0&sr_pri_blocks=1672658901_439031017_10_1_0__3500000&from=searchresults,35000,,,Harīpur,29.0,Villa,"4 beds (2 extra-large doubles, 2 sofa beds)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/886889674.webp?k=b9a5a106c86139fa33a30f8d8dda44afbe86f1522c2b43a6960cb305df8fa2cc&o=,4,Haripur
Royal swiss Hotel Khanpur,https://www.booking.com/hotel/pk/royal-swiss-khanpur.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1560103802_427114943_2_0_0&highlighted_blocks=1560103802_427114943_2_0_0&matching_block_id=1560103802_427114943_2_0_0&sr_pri_blocks=1560103802_427114943_2_0_0__540000&from=searchresults,5400,6.0,7.0,Khanpur,19.7,Twin Room,2 single beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/805554753.webp?k=dec55a174255028dc8e9124a3a1756d427f69221b6eac9655361f18491d0b46a&o=,12,Haripur
lake view hotel and resort,https://www.booking.com/hotel/pk/lake-view-and-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1464832101_417786672_3_1_0&highlighted_blocks=1464832101_417786672_3_1_0&matching_block_id=1464832101_417786672_3_1_0&sr_pri_blocks=1464832101_417786672_3_1_0__700000&from=searchresults,7000,7.8,16.0,Khanpur,19.6,Deluxe Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/722023009.webp?k=c0cab3352c2a0f8ba3aabd0e8944c677af7008833447e32480f753a5b5fd9d98&o=,10,Haripur
Gandhara castle hotel Resort & Adventure Club,https://www.booking.com/hotel/pk/gandhara-castle-reort-amp-adventure-club.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=830672605_427278196_2_2_0&highlighted_blocks=830672605_427278196_2_2_0&matching_block_id=830672605_427278196_2_2_0&sr_pri_blocks=830672605_427278196_2_2_0__950000&from=searchresults,9500,6.6,41.0,Khanpur,19.8,Standard Double or Twin Room,2 single beds,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/346332654.webp?k=c0f0fd4bfa95f0104271d0d2a66f4c5faafd7fc4f422cd1a9fadc1a37630b8e7&o=,13,Haripur
ROYAL HOSTEL ROOMs,https://www.booking.com/hotel/pk/royal-hostel-rooms.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1588068801_429911010_3_0_0&highlighted_blocks=1588068801_429911010_3_0_0&matching_block_id=1588068801_429911010_3_0_0&sr_pri_blocks=1588068801_429911010_3_0_0__300000&from=searchresults,3000,,,Haveliān,19.8,Triple Room,3 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/827907898.webp?k=d74ce30673a727eef56660aee941aaa4ab0bdc625a6bc75f07ddee6536ec551b&o=,4,Haripur
HYN Mountain Resort,https://www.booking.com/hotel/pk/hyn-mountain-resort-kohala-payain.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1645984701_437592312_4_1_0&highlighted_blocks=1645984701_437592312_4_1_0&matching_block_id=1645984701_437592312_4_1_0&sr_pri_blocks=1645984701_437592312_4_1_0__7560000&from=searchresults,75600,,,Kohāla,17.4,Three-Bedroom House,"12 beds (6 singles, 1 double, 1 sofa bed, 4 futons)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/869906435.webp?k=37e9f788a65441ff82a45088434e94c07a7c0d1d78c61c3e0a7d6eda9d751b45&o=,4,Haripur
HYN Mountain Resort,https://www.booking.com/hotel/pk/hyn-mountain-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=1639136901_434197165_12_1_0&highlighted_blocks=1639136901_434197165_12_1_0&matching_block_id=1639136901_434197165_12_1_0&sr_pri_blocks=1639136901_434197165_12_1_0__9600000&from=searchresults,96000,,,Kohāla,17.4,Two-Bedroom House,"12 beds (5 singles, 1 double, 2 sofa beds, 4 futons)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/866270058.webp?k=a9c1debd37610ba41e017107a0775f7b7cc0aa101a1dd58fdef25587ec52c8c1&o=,5,Haripur
PINETOP RESORT,https://www.booking.com/hotel/pk/pinetop-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjIzMDZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIl8LTBsACAdICJGYyZDdjZTY4LTUyNWYtNGJkYS1hMGYwLTE0ZWQyMjY2M2JhMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762306&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=14c258c435490086&srepoch=1785760654&all_sr_blocks=978277304_376338357_2_1_0&highlighted_blocks=978277304_376338357_2_1_0&matching_block_id=978277304_376338357_2_1_0&sr_pri_blocks=978277304_376338357_2_1_0__1056000&from=searchresults,10560,7.7,36.0,Khanpur,21.1,Standard Double Room,"3 beds (1 extra-large double, 2 futons)",1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/787766999.webp?k=41b15768c22309c120c43e904aa3abbb983ff252afb314eef6373439dc9198ac&o=,4,Haripur
