property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
PC Legacy Hunza,https://www.booking.com/hotel/pk/pc-legacy-nasirabad-hunza.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1038612302_376390780_2_1_0_623275&highlighted_blocks=1038612302_376390780_2_1_0_623275&matching_block_id=1038612302_376390780_2_1_0_623275&sr_pri_blocks=1038612302_376390780_2_1_0_623275_1500000&from=searchresults,15000,8.1,180.0,Hunza,14.1,Deluxe Twin Room,2 single beds,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/475162240.webp?k=2ed98f6ec912cbfc1c0f2bb73fd3da4ada926b03c3b20e6c70abad542f8cda6f&o=,15,Hunza
Hunza Serena Hotel,https://www.booking.com/hotel/pk/hunza-serena-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=169744208_229889491_0_1_0&highlighted_blocks=169744208_229889491_0_1_0&matching_block_id=169744208_229889491_0_1_0&sr_pri_blocks=169744208_229889491_0_1_0__11500&from=searchresults,31956,9.4,204.0,Hunza,6.1,Deluxe King Room,1 extra-large double bed,1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/574998174.webp?k=f2e1ab7fdb0c4e878502b0d4180df4e83eefdf14a74e3a1164009cce2968908f&o=,13,Hunza
"Pearl Continental Attabad Lake, Hunza",https://www.booking.com/hotel/pk/pearl-continental-attabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1644019502_434535914_2_1_0&highlighted_blocks=1644019502_434535914_2_1_0&matching_block_id=1644019502_434535914_2_1_0&sr_pri_blocks=1644019502_434535914_2_1_0__3150000&from=searchresults,31500,8.3,6.0,Hunza,17.8,Standard Twin Room,1 single bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/868982193.webp?k=fdc7368b2cb7ae88183481cce09e2d7367eea61dd00f236c199675e1f28212c4&o=,15,Hunza
The Rihla Hunza - Managed By Luxus,https://www.booking.com/hotel/pk/the-rihla-hunza-managed-by-luxus.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1378976601_439766485_0_0_0&highlighted_blocks=1378976601_439766485_0_0_0&matching_block_id=1378976601_439766485_0_0_0&sr_pri_blocks=1378976601_439766485_0_0_0__2500020&from=searchresults,25000,9.8,51.0,Hunza,6.2,Superior Double Room,1 large double bed,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/659703408.webp?k=67559b81fc77b04f3429bceea491c6c3217b288e3c5a9d94e406cbad92055070&o=,14,Hunza
Old Hunza inn,https://www.booking.com/hotel/pk/old-hunza-inn-karimabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=720587005_383013921_0_40_0&highlighted_blocks=720587005_383013921_0_40_0&matching_block_id=720587005_383013921_0_40_0&sr_pri_blocks=720587005_383013921_0_40_0__1100000&from=searchresults,11000,8.8,116.0,Hunza,6.0,Deluxe Queen Room,1 single bed,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/316146514.webp?k=7066d9ff0f94f1542d29d02fd14e3f5cb33d922a024408787f756b7c9e4c9438&o=,10,Hunza
Tourist Cottage Hunza,https://www.booking.com/hotel/pk/tourist-cottage-hunza-hunza.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=725549702_310462530_3_2_0&highlighted_blocks=725549702_310462530_3_2_0&matching_block_id=725549702_310462530_3_2_0&sr_pri_blocks=725549702_310462530_3_2_0__390000&from=searchresults,3900,8.4,119.0,Hunza,6.0,Family Room with Mountain View,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/295975319.webp?k=8339f8b53cd1d0fbdfea848d3ce6bd6456ab6aa5e4693a3c1a14adddb4226697&o=,11,Hunza
Hunza Lounge,https://www.booking.com/hotel/pk/hunza-lounge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=274606002_379577406_2_2_0&highlighted_blocks=274606002_379577406_2_2_0&matching_block_id=274606002_379577406_2_2_0&sr_pri_blocks=274606002_379577406_2_2_0__1200000&from=searchresults,12000,9.6,163.0,Hunza,5.8,Family Room with Balcony,"2 beds (1 single, 1 double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/541649573.webp?k=3e4fffe08bff7b811f794d51cf906e750384975ad78c9bb36ed3ecf99ff4e8e9&o=,12,Hunza
Best Western Premier Hotel Karim Abad Hunza,https://www.booking.com/hotel/pk/best-western-premier-karim-abad-hunza.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1527430304_424332277_2_1_0&highlighted_blocks=1527430304_424332277_2_1_0&matching_block_id=1527430304_424332277_2_1_0&sr_pri_blocks=1527430304_424332277_2_1_0__2500000&from=searchresults,25000,9.0,12.0,Hunza,4.8,Deluxe Double Room with Balcony and Mountain View - Non-Smoking,1 double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/889641849.webp?k=32e25bb708f4a1a30997622043d665048de8499313e32ba7faa835653da942e9&o=,10,Hunza
Backpackers Stories by Old Hunza Inn,https://www.booking.com/hotel/pk/backpackers-stories-by-old-hunza-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1006179802_376471684_2_0_0&highlighted_blocks=1006179802_376471684_2_0_0&matching_block_id=1006179802_376471684_2_0_0&sr_pri_blocks=1006179802_376471684_2_0_0__405000&from=searchresults,4050,8.1,139.0,Hunza,6.0,Standard Family Room,1 large double bed,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/503797785.webp?k=53a1494428654fe3ee977e2b9ba2aba75e359e689268eb221a8059b628751ec8&o=,3,Hunza
Hunza Backpackers Inn,https://www.booking.com/hotel/pk/hunza-backpacker-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2NDVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALPmcLTBsACAdICJDFlOTcxZTZmLTI2YTMtNGQ4MC05NjY4LWJmYzEzMjczODU5Y9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762645&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e86a5967b30c06a4&srepoch=1785760987&all_sr_blocks=1428566209_432571262_0_0_0&highlighted_blocks=1428566209_432571262_0_0_0&matching_block_id=1428566209_432571262_0_0_0&sr_pri_blocks=1428566209_432571262_0_0_0__300000&from=searchresults,3000,8.9,25.0,Hunza,6.1,Double or Twin Room,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/855344802.webp?k=0ba4e16389a50d54888a408b13a835ceae54dad3e2cfd5e94cad6dd61071f05e&o=,4,Hunza
