property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Islamabad Serena Hotel,https://www.booking.com/hotel/pk/islamabad-serena-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=106810201_439615904_0_41_0&highlighted_blocks=106810201_439615904_0_41_0&matching_block_id=106810201_439615904_0_41_0&sr_pri_blocks=106810201_439615904_0_41_0__17000&from=searchresults,47240,8.7,976.0,Islamabad,1.8,Deluxe Double Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/183065428.webp?k=db6648f26ee40e1ab7caf3d12cb386f06ac30355668e16bbd391da5853f39154&o=,14,Islamabad
Movenpick Hotel Centaurus Islamabad,https://www.booking.com/hotel/pk/movenpick-centaurus-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1350489203_407397611_2_42_0&highlighted_blocks=1350489203_407397611_2_42_0&matching_block_id=1350489203_407397611_2_42_0&sr_pri_blocks=1350489203_407397611_2_42_0__11600&from_sustainable_property_sr=1&from=searchresults,32234,8.7,670.0,"Blue Area, Islamabad",4.5,Classic King Room,1 extra-large double bed,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/881620682.webp?k=ed665373fbf1cc335088979bffaf7a045e3b9c7d3052b27c2692f003d850460a&o=,14,Islamabad
Islamabad Marriott Hotel,https://www.booking.com/hotel/pk/islamabad-marriott.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=39924401_118440414_2_1_0&highlighted_blocks=39924401_118440414_2_1_0&matching_block_id=39924401_118440414_2_1_0&sr_pri_blocks=39924401_118440414_2_1_0__4200000&from_sustainable_property_sr=1&from=searchresults,42000,8.5,554.0,Islamabad,0.7,"Deluxe, Guest room, 1 King",1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/825456805.webp?k=95ed7c919b95e65d9bd151906296f408876c33f80a354e0adc2dbc13f02e0b82&o=,16,Islamabad
Alpine Lodges,https://www.booking.com/hotel/pk/stay-well-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1411633502_412909112_0_2_0&highlighted_blocks=1411633502_412909112_0_2_0&matching_block_id=1411633502_412909112_0_2_0&sr_pri_blocks=1411633502_412909112_0_2_0__693000&from=searchresults,6930,7.4,98.0,"E-11 Sector, Islamabad",12.1,Deluxe Double Room (2 Adults + 1 Child),"2 beds (1 extra-large double, 1 futon)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/874128153.webp?k=809b56501bc6a710a3253253de095a896404b820fceb873a532d948984aaabb3&o=,11,Islamabad
Premium category Apartments,https://www.booking.com/hotel/pk/sky-line-2-in-qurtuba-heights.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1683978001_440110815_8_0_0&highlighted_blocks=1683978001_440110815_8_0_0&matching_block_id=1683978001_440110815_8_0_0&sr_pri_blocks=1683978001_440110815_8_0_0__1360000&from=searchresults,13600,6.4,22.0,"E-11 Sector, Islamabad",10.8,Two-Bedroom Apartment,2 double beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/898079966.webp?k=4e9924bbf0b54592a7ebb1def8bc832e0774afa5d8e268a1ba8d433fb1cfc096&o=,15,Islamabad
Taj Signature Hotel Islamabad,https://www.booking.com/hotel/pk/taj-signature-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1594091103_430446484_2_1_0&highlighted_blocks=1594091103_430446484_2_1_0&matching_block_id=1594091103_430446484_2_1_0&sr_pri_blocks=1594091103_430446484_2_1_0__2160000&from=searchresults,21600,8.4,155.0,"F-7 Sector, Islamabad",3.7,Standard King Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/833698027.webp?k=3a980596ad5bb12646421bc300d9bf8c97f55c9f56097e0760d1c822c22e4aaa&o=,14,Islamabad
Oriental Hotel Islamabad,https://www.booking.com/hotel/pk/dong-fang-jiu-dian.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1579286608_429340263_2_42_0&highlighted_blocks=1579286608_429340263_2_42_0&matching_block_id=1579286608_429340263_2_42_0&sr_pri_blocks=1579286608_429340263_2_42_0__692550&from=searchresults,6926,7.3,76.0,"F-8 Sector, Islamabad",5.1,Standard Queen Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/881769324.webp?k=15543138f06883a57134fd45839ce20324f5d5565374b67dcc9cda6d7cd6ca4a&o=,6,Islamabad
The Life Style Lodges opp Centaurus Mall,https://www.booking.com/hotel/pk/life-style-guest-house-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=887646522_358381650_2_2_0&highlighted_blocks=887646522_358381650_2_2_0&matching_block_id=887646522_358381650_2_2_0&sr_pri_blocks=887646522_358381650_2_2_0__700000&from=searchresults,7000,6.7,360.0,"F-7 Sector, Islamabad",4.1,Queen Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/758313760.webp?k=b9bc34248288e6cf6502e8f5758bbab16fd8b9cd0301209f9eab06bff4a4c3f6&o=,8,Islamabad
"Roomy Signature Hotel, Islamabad",https://www.booking.com/hotel/pk/roomy-signature-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=1011554305_440995518_2_1_0_1177557&highlighted_blocks=1011554305_440995518_2_1_0_1177557&matching_block_id=1011554305_440995518_2_1_0_1177557&sr_pri_blocks=1011554305_440995518_2_1_0_1177557_3272500&from=searchresults,32725,8.3,734.0,"F-6 Sector, Islamabad",1.4,King Room with Garden View,1 double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/463295676.webp?k=7875d270d9a806b06fd226248ec0dfee733d24db8c27b99a530e0880f844301f&o=,11,Islamabad
The 108 Hotel,https://www.booking.com/hotel/pk/the-108.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI4MTJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKqisLTBsACAdICJGIyYWUwNDZiLWE5YmEtNGI1Yi05MjRjLWFkYWU5NDcwN2MxM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762812&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ed21559515340104&srepoch=1785759214&all_sr_blocks=721651803_395129618_2_1_0&highlighted_blocks=721651803_395129618_2_1_0&matching_block_id=721651803_395129618_2_1_0&sr_pri_blocks=721651803_395129618_2_1_0__2755200&from=searchresults,27552,8.9,324.0,"Blue Area, Islamabad",3.7,Deluxe King Room,1 extra-large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/762295272.webp?k=aa6248fe2778785dce6056f305e36b42a97382e66bc37a12f2b19af6692f5f76&o=,3,Islamabad
