property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hill View Park Guest House Citihousing jhelum satellite town,https://www.booking.com/hotel/pk/citi-hill-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1433164002_417508898_2_2_0&highlighted_blocks=1433164002_417508898_2_2_0&matching_block_id=1433164002_417508898_2_2_0&sr_pri_blocks=1433164002_417508898_2_2_0__599900&from=searchresults,5999,8.1,50.0,Jhelum,8.8,Deluxe Studio,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/694837437.webp?k=c854a74e9f7c629955addc084d651ad145c5eae7d2d61b96bcd342127ce07ce8&o=,13,Jhelum
"Jhelum One Hotel, Shandar Chowk",https://www.booking.com/hotel/pk/khan-plaza.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=884682105_425233352_2_42_0&highlighted_blocks=884682105_425233352_2_42_0&matching_block_id=884682105_425233352_2_42_0&sr_pri_blocks=884682105_425233352_2_42_0__639900&from=searchresults,6399,6.9,61.0,Jhelum,0.6,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/626234872.webp?k=eed8ff4311e3f3e714657c90d2dc6c7c1c16593f1b8311b870b1583384d1f2c0&o=,9,Jhelum
Citi Hotel Apartments,https://www.booking.com/hotel/pk/citi-apartments-jhelum.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1074164808_391559297_2_0_0&highlighted_blocks=1074164808_391559297_2_0_0&matching_block_id=1074164808_391559297_2_0_0&sr_pri_blocks=1074164808_391559297_2_0_0__900000&from=searchresults,9000,7.5,70.0,Jhelum,9.5,Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/496565543.webp?k=2a9cf16645c22a0d4fb8a4d5cd77d4e775ea264dbc97a32505f92bfcfc758b3a&o=,13,Jhelum
"2 BHK Apartment with Citi Theme Park Views, WiFi, Secure",https://www.booking.com/hotel/pk/luxurious-3bhk-house-in-jhelum-cantt-with-king-bed.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1379266204_431954119_2_0_0_851921&highlighted_blocks=1379266204_431954119_2_0_0_851921&matching_block_id=1379266204_431954119_2_0_0_851921&sr_pri_blocks=1379266204_431954119_2_0_0_851921_956250&from=searchresults,9563,7.2,6.0,Jhelum,9.7,Holiday Home,"3 beds (2 extra-large doubles, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/714782933.webp?k=45aca3b88c8c844f2882c8f8b62b829f0beec06c226213d177e79f60fbe74441&o=,13,Jhelum
Guest room,https://www.booking.com/hotel/pk/guest-room-jhelum.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1696163901_441290409_2_0_0&highlighted_blocks=1696163901_441290409_2_0_0&matching_block_id=1696163901_441290409_2_0_0&sr_pri_blocks=1696163901_441290409_2_0_0__389980&from=searchresults,3900,,,Jhelum,9.6,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900259545.webp?k=e035bd8563f8bd0c3fd7a16d88f780c9ba2d83a3ddb841075bac2dc85a705d7b&o=,5,Jhelum
Nova Plex Apartments,https://www.booking.com/hotel/pk/nova-plex.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1363011501_410030589_2_0_0_811972&highlighted_blocks=1363011501_410030589_2_0_0_811972&matching_block_id=1363011501_410030589_2_0_0_811972&sr_pri_blocks=1363011501_410030589_2_0_0_811972_1500000&from=searchresults,15000,8.2,9.0,Jhelum,9.1,Two-Bedroom Apartment,"3 beds (1 sofa bed, 2 large doubles)",0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/685885317.webp?k=efae2804ec8370d23d411db1ef791b885615d752c8bb315b6833f5cfd8d76189&o=,3,Jhelum
Premier Heights Jhelum,https://www.booking.com/hotel/pk/premier-heights.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=917756504_363316148_0_2_0%2C917756504_363316148_0_2_0&highlighted_blocks=917756504_363316148_0_2_0%2C917756504_363316148_0_2_0&matching_block_id=917756504_363316148_0_2_0&sr_pri_blocks=917756504_363316148_0_2_0__1188000%2C917756504_363316148_0_2_0__1188000&from=searchresults,23760,7.1,26.0,Jhelum,9.8,Deluxe Single Room,2 single beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/424264029.webp?k=b4cf51d073c6e74c864989d6b9dd08c8e4509b278129c1f7999986c1dac19607&o=,12,Jhelum
"Modern 2BR Family Apartment, Free Parking, Citi Housing Jhelum",https://www.booking.com/hotel/pk/a-private-spacious-room-in-luxury-house-in-jhelum-cantt.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1379587202_431954428_2_0_0_1144121&highlighted_blocks=1379587202_431954428_2_0_0_1144121&matching_block_id=1379587202_431954428_2_0_0_1144121&sr_pri_blocks=1379587202_431954428_2_0_0_1144121_1000000&from=searchresults,10000,5.0,4.0,Jhelum,3.1,Family Two-Bedroom Apartment with View,"3 beds (2 extra-large doubles, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/792267603.webp?k=556423ca9cbec7ec5ab0e5891490c2930879084d557500051edef49da4783190&o=,5,Jhelum
VIP 2 bed apartment,https://www.booking.com/hotel/pk/vip-2-bed-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1394478001_411359761_6_0_0&highlighted_blocks=1394478001_411359761_6_0_0&matching_block_id=1394478001_411359761_6_0_0&sr_pri_blocks=1394478001_411359761_6_0_0__1700000&from=searchresults,17000,,,Jhelum,9.6,Two-Bedroom Apartment,"4 beds (1 extra-large double, 2 sofa beds, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/670883040.webp?k=cb9fde6c256d6e394e04b014e822a67bc93adb8b2b262d16517ad0c29886a6f2&o=,4,Jhelum
panjeri villas,https://www.booking.com/hotel/pk/panjeri-villas-jhelum.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjM1NzJICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKtkcLTBsACAdICJDIzMjliZmMyLTNlNTctNDJmNi05NTBkLWE3ZjkwMWVhNzdiYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2763572&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7ca057560c3e0011&srepoch=1785759930&all_sr_blocks=1375086901_409661379_8_0_0&highlighted_blocks=1375086901_409661379_8_0_0&matching_block_id=1375086901_409661379_8_0_0&sr_pri_blocks=1375086901_409661379_8_0_0__1000000&from=searchresults,10000,,,Jhelum,3.1,Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/656805091.webp?k=71bee45aea5aba741e2e2fd1d771bff220eaa58dc315925bb9c19a152ab3901f&o=,4,Jhelum
