property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Fivee Hotel Model Town Multan,https://www.booking.com/hotel/pk/five-multan1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1633023901_433781698_2_1_0&highlighted_blocks=1633023901_433781698_2_1_0&matching_block_id=1633023901_433781698_2_1_0&sr_pri_blocks=1633023901_433781698_2_1_0__357000&from=searchresults,3570,8.0,16.0,Multan,2.0,Family Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/875791519.webp?k=f7ff82a2f6d1db87c189460dd2bf5cf74c73b6d23d946b06837ba80b647596fe&o=,16,Khanewal
Bling International Hotel Multan,https://www.booking.com/hotel/pk/south-punjab-multan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1207206201_392920354_2_1_0&highlighted_blocks=1207206201_392920354_2_1_0&matching_block_id=1207206201_392920354_2_1_0&sr_pri_blocks=1207206201_392920354_2_1_0__729000&from=searchresults,7290,8.4,311.0,Multan,4.5,Deluxe King Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/557821339.webp?k=056c01129fe0d77a324fe84453937a0a9f002b2476f0f5f282ed07a09c251b3c&o=,4,Khanewal
Multan Swiss Hotel,https://www.booking.com/hotel/pk/multan-swiss.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1232465102_431448284_2_1_0&highlighted_blocks=1232465102_431448284_2_1_0&matching_block_id=1232465102_431448284_2_1_0&sr_pri_blocks=1232465102_431448284_2_1_0__950000&from=searchresults,9500,8.6,177.0,Multan,3.0,Deluxe Double Room,1 large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/625556514.webp?k=b4e325b8fded104cb73e280144956a5e842b5e495c6cd1032245d561c8f47975&o=,14,Khanewal
Hotel DE Smart Multan,https://www.booking.com/hotel/pk/galaxy-inn-multan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1192922405_391590408_3_1_0&highlighted_blocks=1192922405_391590408_3_1_0&matching_block_id=1192922405_391590408_3_1_0&sr_pri_blocks=1192922405_391590408_3_1_0__605000&from=searchresults,6050,8.5,87.0,Multan,2.9,Superior Triple Room,3 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/806489279.webp?k=d619aa8174451c23a1017c5731c10a26aad56a6a017736d67b6ec91e17fff7ed&o=,8,Khanewal
Best Eastern Hotel Multan,https://www.booking.com/hotel/pk/best-eastern-multan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1493427609_420995855_2_1_0&highlighted_blocks=1493427609_420995855_2_1_0&matching_block_id=1493427609_420995855_2_1_0&sr_pri_blocks=1493427609_420995855_2_1_0__1080000&from=searchresults,10800,8.2,161.0,Multan,2.6,Deluxe King Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/799694614.webp?k=498110cfc3024d3a1cda33bfcefdc9ce1f6ab0859ed4dbb8df2d932d4f2dc6f4&o=,13,Khanewal
Hotel Multan Avenue Multan,https://www.booking.com/hotel/pk/multan-avenue-multan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1576729001_428777006_2_1_0&highlighted_blocks=1576729001_428777006_2_1_0&matching_block_id=1576729001_428777006_2_1_0&sr_pri_blocks=1576729001_428777006_2_1_0__585000&from=searchresults,5850,8.4,27.0,Multan,1.6,Double Room,"2 beds (1 extra-large double, 1 futon)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/865559858.webp?k=5ab5ed4632d66a861253253b6e6d26d789e1e17ae294e142bc15e99e9b61e2e3&o=,9,Khanewal
Hotel Royal Luxury Multan,https://www.booking.com/hotel/pk/pak-heaven.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=721351604_309248717_2_1_0&highlighted_blocks=721351604_309248717_2_1_0&matching_block_id=721351604_309248717_2_1_0&sr_pri_blocks=721351604_309248717_2_1_0__484500&from=searchresults,4845,7.3,185.0,Multan,2.8,Deluxe Family Room,"2 beds (1 extra-large double, 1 large double)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/873637894.webp?k=cc31bd3bdf974cb88ce74f67db7592ddf23920a44f75fa93aab510c39fa8db81&o=,8,Khanewal
The Nura Nest Residency,https://www.booking.com/hotel/pk/the-nura-nest-girls-hostel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1495525203_421224330_4_0_0&highlighted_blocks=1495525203_421224330_4_0_0&matching_block_id=1495525203_421224330_4_0_0&sr_pri_blocks=1495525203_421224330_4_0_0__135000&from=searchresults,1350,6.5,2.0,Multan,3.5,Quadruple Room with Bathroom,4 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/765588888.webp?k=989c0c895747f0ad2879cb7b35ba5eb47e45038b172f0d96ae5160945d58496f&o=,4,Khanewal
Star Continental Hotel,https://www.booking.com/hotel/pk/star-continental-multan3.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=1668948401_438705289_5_2_0&highlighted_blocks=1668948401_438705289_5_2_0&matching_block_id=1668948401_438705289_5_2_0&sr_pri_blocks=1668948401_438705289_5_2_0__782000&from=searchresults,7820,,,Multan,3.6,Double Room with Private Bathroom,7 extra-large double beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/884343555.webp?k=0cfa39fcebbef6ddace031edb1f552cf245062eb476e1eef63ebe246bc56c8f1&o=,4,Khanewal
Hotels Inn Multan Laxen Inn Multan Hotels Pakistan,https://www.booking.com/hotel/pk/laxen-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjA1MzQ5MkgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AtqQwtMGwAIB0gIkNTc3ZGFlODgtMjc0Yi00MmMxLWI3MDUtMTgyM2RhN2NlYjdm2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6053492&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8fa5572dee5d062c&srepoch=1785759853&all_sr_blocks=684804206_278768475_0_2_0&highlighted_blocks=684804206_278768475_0_2_0&matching_block_id=684804206_278768475_0_2_0&sr_pri_blocks=684804206_278768475_0_2_0__279000&from=searchresults,2790,5.0,14.0,Multan,2.6,Budget Double Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/633270085.webp?k=99fa25506885418c4afcc73a8aeee582bb5c1779897ede3d85daf409c0f34ba9&o=,10,Khanewal
