property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Full Furnished House Entire Place No Sharing,https://www.booking.com/hotel/pk/ahmad-lahore.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1276121901_400548747_0_0_0&highlighted_blocks=1276121901_400548747_0_0_0&matching_block_id=1276121901_400548747_0_0_0&sr_pri_blocks=1276121901_400548747_0_0_0__371250&from=searchresults,3713,8.6,5.0,Rāmkot,19.4,Chalet,"2 beds (1 double, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/651330504.webp?k=3ec94c598346ed49bd3a1f3729afdc35822a7c1590e51927c596019060f4ba55&o=,5,Kot Radha Kishan
Alfazal apartment,https://www.booking.com/hotel/pk/alfazal-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1579304002_429030697_2_0_0&highlighted_blocks=1579304002_429030697_2_0_0&matching_block_id=1579304002_429030697_2_0_0&sr_pri_blocks=1579304002_429030697_2_0_0__440000&from=searchresults,4400,5.6,5.0,Lahore,19.6,One-Bedroom Apartment,"3 beds (2 sofa beds, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/821308106.webp?k=6d514f40dfb8d17287952ce38d88ca7e898dc3b3190b649ead6e6adbb2956864&o=,4,Kot Radha Kishan
Shabbir Premier Heights,https://www.booking.com/hotel/pk/shabbir-premier-heights.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1665433903_438395387_2_0_0&highlighted_blocks=1665433903_438395387_2_0_0&matching_block_id=1665433903_438395387_2_0_0&sr_pri_blocks=1665433903_438395387_2_0_0__600000&from=searchresults,6000,,,Lahore,18.8,King Studio,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/882169626.webp?k=4fd0fb0d60add37070beef349cdc6ecd42647d49fb4bfe9b2c2c7c2b1ed68af1&o=,14,Kot Radha Kishan
Okasha Tower One Hotel,https://www.booking.com/hotel/pk/okasha-tower-one.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1613145501_432212552_2_0_0&highlighted_blocks=1613145501_432212552_2_0_0&matching_block_id=1613145501_432212552_2_0_0&sr_pri_blocks=1613145501_432212552_2_0_0__595000&from=searchresults,5950,1.0,1.0,Rāiwind,19.7,One-Bedroom Apartment,"8 beds (2 singles, 2 doubles, 2 extra-large doubles, 2 large doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/848607837.webp?k=17f1f859e91b744ab23335844dfe85d22e70a725df601010f3bd4b6cffc6113f&o=,4,Kot Radha Kishan
Crystal Heights,https://www.booking.com/hotel/pk/crystal-heights-lahore.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1409340001_412712350_2_0_0&highlighted_blocks=1409340001_412712350_2_0_0&matching_block_id=1409340001_412712350_2_0_0&sr_pri_blocks=1409340001_412712350_2_0_0__605000&from=searchresults,6050,,,Lahore,18.3,Studio Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/679781394.webp?k=8f4c8fbe70e8d90d8b997285d9f91ce65fae665aed7bd270e508d62fd8ce2ecb&o=,4,Kot Radha Kishan
Haven Lodge Lahore by Haven Holiday Homes - 4BR Vacation Home with Lawn & Park Access,https://www.booking.com/hotel/pk/canal-villa-cheerful-holiday-home-with-park-access.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1022585301_403201969_8_0_0&highlighted_blocks=1022585301_403201969_8_0_0&matching_block_id=1022585301_403201969_8_0_0&sr_pri_blocks=1022585301_403201969_8_0_0__3400000&from=searchresults,34000,10,4.0,Rāmkot,19.7,Holiday Home,"10 beds (4 extra-large doubles, 2 sofa beds, 4 futons)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/613964466.webp?k=4b5291cf016826329ceedfe23d99ff7200a108e7cd125a42ec2a39981d91685d&o=,12,Kot Radha Kishan
Ali House,https://www.booking.com/hotel/pk/ali-house-lahore1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1584669301_429594962_10_1_0&highlighted_blocks=1584669301_429594962_10_1_0&matching_block_id=1584669301_429594962_10_1_0&sr_pri_blocks=1584669301_429594962_10_1_0__3000000&from=searchresults,30000,,,Lahore,19.6,Double Room with Private Bathroom,"7 beds (4 singles, 2 doubles, 1 large double)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/826162710.webp?k=956e95b3b30da4a7ac0184397b9aaa71d450e5d13e756c343daf7dc347b6f09c&o=,4,Kot Radha Kishan
Luxury Home Lahore,https://www.booking.com/hotel/pk/luxury-home-lahore.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1378308101_409950444_4_0_0&highlighted_blocks=1378308101_409950444_4_0_0&matching_block_id=1378308101_409950444_4_0_0&sr_pri_blocks=1378308101_409950444_4_0_0__2240000&from=searchresults,22400,,,Lahore,19.9,Five-Bedroom House,"12 beds (6 doubles, 3 sofa beds, 3 large doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/659069691.webp?k=681d0a54c27317618dd1a2a03e6e1ce959c91446a4550488d53a4ac37e096d36&o=,4,Kot Radha Kishan
One Bed Apartment,https://www.booking.com/hotel/pk/one-bed-apartment-lahore6.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1442214901_415659729_2_0_0&highlighted_blocks=1442214901_415659729_2_0_0&matching_block_id=1442214901_415659729_2_0_0&sr_pri_blocks=1442214901_415659729_2_0_0__500000&from=searchresults,5000,,,Lahore,19.9,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/701026551.webp?k=6414dd42ac7319635859c1984ccf3c10ab6a637e8f1ccf11b7fb76ca8b7918ba&o=,4,Kot Radha Kishan
Apartment in Bahria Orchard,https://www.booking.com/hotel/pk/apartment-in-bahria-town-lahore7.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjY1NjdICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALTk8LTBsACAdICJGZmMjBmM2FhLWYyNGUtNDFiNy1iYmFhLWM4Y2NmOTA3OTJiMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2766567&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1f8e57e9fa14070c&srepoch=1785760247&all_sr_blocks=1612211201_432190651_2_0_0&highlighted_blocks=1612211201_432190651_2_0_0&matching_block_id=1612211201_432190651_2_0_0&sr_pri_blocks=1612211201_432190651_2_0_0__800000&from=searchresults,8000,,,Lahore,19.8,Classic One-Bedroom Apartment with King Bed,Classic One-Bedroom Apartment with King Bed,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/847845365.webp?k=213c3ed47ad5df89984a1ddaded8fe22c249da0165a5534efccf9a81146238a9&o=,3,Kot Radha Kishan
