property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hidden Hills Hotel & Resort,https://www.booking.com/hotel/pk/hidden-hills-amp-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1238958906_395831833_3_1_0&highlighted_blocks=1238958906_395831833_3_1_0&matching_block_id=1238958906_395831833_3_1_0&sr_pri_blocks=1238958906_395831833_3_1_0__1900000&from=searchresults,19000,9.0,44.0,Mānsehra,5.4,Triple Room with Mountain View,Multiple bed types,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/576286847.webp?k=4a474c9c087464efbdd729f21c59022c291dc1f78796848dbf3670e2af5f52be&o=,13,Mansehra
Hotel One Mansehra,https://www.booking.com/hotel/pk/one-mansehra.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=813880902_413710750_2_1_0&highlighted_blocks=813880902_413710750_2_1_0&matching_block_id=813880902_413710750_2_1_0&sr_pri_blocks=813880902_413710750_2_1_0__1440000&from=searchresults,14400,8.8,61.0,Mānsehra,6.5,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/337258993.webp?k=d1bc7f2592541ecc8ba0f51525eab89a698022f095967e0c407536e730290512&o=,11,Mansehra
White Ice Cottages,https://www.booking.com/hotel/pk/white-ice-cottages-mansehra.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1697111401_441392151_2_41_0&highlighted_blocks=1697111401_441392151_2_41_0&matching_block_id=1697111401_441392151_2_41_0&sr_pri_blocks=1697111401_441392151_2_41_0__605625&from=searchresults,6056,,,Mānsehra,33.9,Double Room with Mountain View,"2 beds (1 single, 1 double)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900831307.webp?k=b49feaba2886e37ec693bd2daf337c6942c45c7c772307189778d676c3cb61b2&o=,4,Mansehra
HUSNAIN RESORT by Saud khan,https://www.booking.com/hotel/pk/husnain-resort-by-saud-khan.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1099459304_386292856_0_1_0&highlighted_blocks=1099459304_386292856_0_1_0&matching_block_id=1099459304_386292856_0_1_0&sr_pri_blocks=1099459304_386292856_0_1_0__800000&from=searchresults,8000,7.8,8.0,Mānsehra,1.1,Deluxe Double Room,1 large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/502689973.webp?k=ef83a2234a1950eabdd315061a7a6bf1d3b24502acb8ad87c266f33fb04087b0&o=,9,Mansehra
Khan Continental Hotel & Restaurant,https://www.booking.com/hotel/pk/khan-continental.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=857640609_353452045_0_1_0&highlighted_blocks=857640609_353452045_0_1_0&matching_block_id=857640609_353452045_0_1_0&sr_pri_blocks=857640609_353452045_0_1_0__1132800&from=searchresults,11328,7.0,3.0,Mānsehra,0.9,Deluxe Double Room (2 Adults + 1 Child),1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/814097703.webp?k=3a133d66dfa18cb927730c2f2798a1058134ae46441c899132c1a53cd2314d5b&o=,4,Mansehra
Serenity Stay,https://www.booking.com/hotel/pk/serenity-stay-mansehra.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1699827901_441636917_12_0_0&highlighted_blocks=1699827901_441636917_12_0_0&matching_block_id=1699827901_441636917_12_0_0&sr_pri_blocks=1699827901_441636917_12_0_0__1156000&from=searchresults,11560,,,Mānsehra,16.3,Three-Bedroom Villa,"3 beds (1 single, 1 sofa bed, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/902336064.webp?k=32da8644a2c0510ae5340c1af0468604a3c81a0ee7fda0cfe226c544a5001082&o=,5,Mansehra
Republika Central Hotel & Resort,https://www.booking.com/hotel/pk/summit-resorts-republika-central.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=989664501_372911295_2_1_0&highlighted_blocks=989664501_372911295_2_1_0&matching_block_id=989664501_372911295_2_1_0&sr_pri_blocks=989664501_372911295_2_1_0__805000&from=searchresults,8050,8.0,134.0,Abbottābād,9.2,Standard Double Room,1 large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/811614941.webp?k=2034436578bc271d7960d8f616bd00188d80543315cb710de873f4a57a95fdd9&o=,12,Mansehra
Whispering Fields,https://www.booking.com/hotel/pk/whispering-fields-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1389515201_410936662_0_0_0&highlighted_blocks=1389515201_410936662_0_0_0&matching_block_id=1389515201_410936662_0_0_0&sr_pri_blocks=1389515201_410936662_0_0_0__792000&from=searchresults,7920,9.4,7.0,Abbottābād,9.1,Two-Bedroom House,"5 beds (2 singles, 1 double, 2 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/694509809.webp?k=8a54b5ffce64d8757adcec65adfc84496bce05523f032be6e00d0410b2383648&o=,5,Mansehra
4 Bedroom House 4 Tourists,https://www.booking.com/hotel/pk/guest-house-qalandarabad-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1401302701_411978235_12_0_0&highlighted_blocks=1401302701_411978235_12_0_0&matching_block_id=1401302701_411978235_12_0_0&sr_pri_blocks=1401302701_411978235_12_0_0__1350000&from=searchresults,13500,,,Gojri,9.1,Four-Bedroom House,"11 beds (8 singles, 1 double, 2 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/848392943.webp?k=9524440cd4977ac4dd20d7b05ff42aa6fd8ea40cd380862d61bc2662df233b6f&o=,5,Mansehra
2 Rooms For Tourist,https://www.booking.com/hotel/pk/whispering-fields-qalandarabad-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njg1NjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALzlsLTBsACAdICJDFkZjY4YTI3LWFjYzctNDBhNS1hYmVkLTE1YTZjYmQyNDI2ZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2768564&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=876858b948b40188&srepoch=1785760645&all_sr_blocks=1400167001_411872836_6_0_0&highlighted_blocks=1400167001_411872836_6_0_0&matching_block_id=1400167001_411872836_6_0_0&sr_pri_blocks=1400167001_411872836_6_0_0__1150000&from=searchresults,11500,10,1.0,Gojri,9.1,Two-Bedroom House,6 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/674323890.webp?k=f9f87632805a36da855fe50e70879019c1def0d9766fdbd7bbaf92fc48b74f44&o=,4,Mansehra
