property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Kashmir Continental Hotel Murree,https://www.booking.com/hotel/pk/kashmir-continental-murree.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1331214204_405652729_0_0_0&highlighted_blocks=1331214204_405652729_0_0_0&matching_block_id=1331214204_405652729_0_0_0&sr_pri_blocks=1331214204_405652729_0_0_0__210000&from=searchresults,2100,5.4,98.0,Murree,0.9,Budget Double Room,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/631842706.webp?k=6e0b9921eb8bb40d1cc9d972823d59fdb6a54401e0150c7b66ca8ef503be817d&o=,4,Murree
Cecil by Pearl Continental,https://www.booking.com/hotel/pk/one-cecil-murree.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=863874602_354461299_2_1_0&highlighted_blocks=863874602_354461299_2_1_0&matching_block_id=863874602_354461299_2_1_0&sr_pri_blocks=863874602_354461299_2_1_0__2300000&from=searchresults,23000,7.7,768.0,Murree,400.0,Queen Studio,2 single beds,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/635133597.webp?k=7d7a6343546bdce615cbf7e3458f90d1cb1248192ca72cf093d7da807bef9c2c&o=,13,Murree
Hotel Summer Palace Murree,https://www.booking.com/hotel/pk/summer-palace-murree-rawalpindi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1310110901_403789625_2_1_0_744466&highlighted_blocks=1310110901_403789625_2_1_0_744466&matching_block_id=1310110901_403789625_2_1_0_744466&sr_pri_blocks=1310110901_403789625_2_1_0_744466_900000&from=searchresults,9000,8.2,174.0,Murree,200.0,Standard King Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/848795667.webp?k=b20ae8933c163589dc525ba8f50dc7e9062b82541dbadf1fdc1c2a3fb544eed5&o=,10,Murree
"Tabash Hotel, Murree",https://www.booking.com/hotel/pk/tabash-murree-murree1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1480750103_440731309_3_2_0&highlighted_blocks=1480750103_440731309_3_2_0&matching_block_id=1480750103_440731309_3_2_0&sr_pri_blocks=1480750103_440731309_3_2_0__764910&from=searchresults,7649,8.2,208.0,Murree,0.5,Budget Double Room,"2 beds (1 double, 1 futon)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/735604151.webp?k=4772b6736b2723e71e2a519f4449b601eb3340a02cd18b9a242366740a44db77&o=,9,Murree
FAKHAR INTERNATIONAL HOTEL! ONE minute walk From MALL ROAD MURREE l Hot Water l Backup Light l Covered Car Parking l,https://www.booking.com/hotel/pk/fakhar-murree.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1653329101_437283183_3_0_0&highlighted_blocks=1653329101_437283183_3_0_0&matching_block_id=1653329101_437283183_3_0_0&sr_pri_blocks=1653329101_437283183_3_0_0__800000&from=searchresults,8000,6.4,29.0,Murree,100.0,Double Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/880643980.webp?k=bd8d496d9a5374bc1e43ecfccec8489ee31dbc09608f89e425ec0971acb3995e&o=,5,Murree
Hotel Mount Heaven,https://www.booking.com/hotel/pk/mount-heaven-murree1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1520873501_423753530_3_0_0&highlighted_blocks=1520873501_423753530_3_0_0&matching_block_id=1520873501_423753530_3_0_0&sr_pri_blocks=1520873501_423753530_3_0_0__300000&from=searchresults,3000,8.0,70.0,Murree,0.6,Double Room,"20 beds (10 singles, 10 doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/793539837.webp?k=ab74621f9f260a92b873a689f6773d52f3ff4ba45e7e46c9e8f6b730c238682e&o=,4,Murree
Sky square murree,https://www.booking.com/hotel/pk/sky-square-apparment-murree.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1579901010_437154369_2_0_0&highlighted_blocks=1579901010_437154369_2_0_0&matching_block_id=1579901010_437154369_2_0_0&sr_pri_blocks=1579901010_437154369_2_0_0__1800000&from=searchresults,18000,9.8,43.0,Murree,4.8,Standard Suite,1 extra-large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/821931907.webp?k=981a34b26eb2a8d9fe052a6c2d258a8f5da7dcbd13e1620c260e88bbe7e3bd20&o=,13,Murree
Bhurban Luxury Suites,https://www.booking.com/hotel/pk/bhurban-luxury-suites.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1211903601_393350594_6_0_0_706851&highlighted_blocks=1211903601_393350594_6_0_0_706851&matching_block_id=1211903601_393350594_6_0_0_706851&sr_pri_blocks=1211903601_393350594_6_0_0_706851_1450000&from=searchresults,14500,7.6,9.0,Murree,7.9,Apartment with View and Balcony,"5 beds (2 extra-large doubles, 3 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/560342912.webp?k=7240b5c77537ad754b421f348ca162abcc1885dd7049e9117742fdf23f9e02dd&o=,4,Murree
The Viceroy House by Ace Luxe,https://www.booking.com/hotel/pk/the-viceroy-house-by-ace-luxe.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1688903802_441408941_2_0_0&highlighted_blocks=1688903802_441408941_2_0_0&matching_block_id=1688903802_441408941_2_0_0&sr_pri_blocks=1688903802_441408941_2_0_0__1302000&from=searchresults,13020,8.7,12.0,Murree,3.4,King Room with Mountain View,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/895501222.webp?k=0eebebbefdc88e33324e1ff13cae11e46dce701723e2298e42ff071715e6e25f&o=,4,Murree
Grand Heights Hotel,https://www.booking.com/hotel/pk/grand-heights-murree.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3Njk4NTFICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKIlMLTBsACAdICJDBiNzYyYjQ4LWNmZWQtNDliYy1hZDA0LWM3MmIxYmU5OWViNdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17e2580464c2007b&srepoch=1785760293&all_sr_blocks=1395921601_411800260_0_42_0&highlighted_blocks=1395921601_411800260_0_42_0&matching_block_id=1395921601_411800260_0_42_0&sr_pri_blocks=1395921601_411800260_0_42_0__1275000&from=searchresults,12750,5.6,91.0,Murree,0.6,Double Room with Mountain View,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/672238961.webp?k=99cd30b31752fe3ae014ce844e9307e577bf68a5d95ba66208e87b97f6a25929&o=,10,Murree
