property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Lavender Resort Naran,https://www.booking.com/hotel/pk/lavender-resort-naran.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1696125401_441288654_8_2_0&highlighted_blocks=1696125401_441288654_8_2_0&matching_block_id=1696125401_441288654_8_2_0&sr_pri_blocks=1696125401_441288654_8_2_0__2422500&from=searchresults,24225,10,3.0,Nārān,1.0,Two-Bedroom Apartment with Balcony and Sea View,2 large double beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900243679.webp?k=56d7b7524fc508d53ca3c26e0969d211d94b14bc2671955b2aab3c84713ba2ce&o=,12,Naran
Dream Palace Naran,https://www.booking.com/hotel/pk/dream-palace-naran2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1439634002_415435359_2_2_0&highlighted_blocks=1439634002_415435359_2_2_0&matching_block_id=1439634002_415435359_2_2_0&sr_pri_blocks=1439634002_415435359_2_2_0__760000&from=searchresults,7600,7.6,63.0,Nārān,0.6,Double Room,1 large double bed,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,8,Naran
Eden Garden Resort Batakundi,https://www.booking.com/hotel/pk/eden-garden-resort-batakundi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1697499501_441419975_4_1_0&highlighted_blocks=1697499501_441419975_4_1_0&matching_block_id=1697499501_441419975_4_1_0&sr_pri_blocks=1697499501_441419975_4_1_0__576045&from=searchresults,5760,,,Nārān,11.8,Triple Room with Mountain View,"3 beds (1 single, 1 double, 1 extra-large double)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/901004339.webp?k=cdfb65336dec3bb222e74cb75b7751862ca44e3ecc72ddf4ade84d859f359ff7&o=,4,Naran
Luxus Naran,https://www.booking.com/hotel/pk/luxus-naran-naran.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1419052709_418770044_2_1_0&highlighted_blocks=1419052709_418770044_2_1_0&matching_block_id=1419052709_418770044_2_1_0&sr_pri_blocks=1419052709_418770044_2_1_0__1999340&from=searchresults,19993,9.5,41.0,Nārān,0.8,Superior Double Room,1 double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/885329344.webp?k=f69a49a6e982741e4bae96c9688d90a4d11ed847b33944b5643ffd6dc6a6dac7&o=,15,Naran
Kunhar Hotel RiverSide Block,https://www.booking.com/hotel/pk/kunhar-riverside-block.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1057626101_378000186_3_1_0&highlighted_blocks=1057626101_378000186_3_1_0&matching_block_id=1057626101_378000186_3_1_0&sr_pri_blocks=1057626101_378000186_3_1_0__1752750&from=searchresults,17528,8.2,99.0,Nārān,1.0,Deluxe Double Room with Balcony and Sea View,"2 beds (1 extra-large double, 1 sofa bed)",1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/483065550.webp?k=bdad4f26ef0e7eef98c079e380c2e21b8856e791c3381da1210110aee3e521c5&o=,11,Naran
Bela Signature Resort Naran,https://www.booking.com/hotel/pk/bela-signature-resort-naran.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1698166301_441480608_4_2_0&highlighted_blocks=1698166301_441480608_4_2_0&matching_block_id=1698166301_441480608_4_2_0&sr_pri_blocks=1698166301_441480608_4_2_0__799000&from=searchresults,7990,,,Nārān,250.0,Double Room with Balcony,"3 beds (1 double, 1 sofa bed, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/901361434.webp?k=e6ea9cce1dd441cdb0bd3bc2c72562a3bbb924c9486f8b028712b77e81fe4f4d&o=,4,Naran
Lee Rivage Inn,https://www.booking.com/hotel/pk/lee-rivage-inn-naran.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1695411101_441215943_3_0_0&highlighted_blocks=1695411101_441215943_3_0_0&matching_block_id=1695411101_441215943_3_0_0&sr_pri_blocks=1695411101_441215943_3_0_0__726669&from=searchresults,7267,,,Nārān,1.5,Double Room,"2 beds (1 single, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/899813368.webp?k=3601b36efa3063efecfb5e250b182c3aecf9e3f6414869df7edbe4d27fd364ca&o=,12,Naran
Bono Riverside Apartments Naran,https://www.booking.com/hotel/pk/bono-riverside-apartments-naran.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1697444901_441417225_2_2_0&highlighted_blocks=1697444901_441417225_2_2_0&matching_block_id=1697444901_441417225_2_2_0&sr_pri_blocks=1697444901_441417225_2_2_0__862750&from=searchresults,8628,8.0,1.0,Nārān,250.0,Two-Bedroom Apartment,"2 beds (1 single, 1 extra-large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900978673.webp?k=cecc0328135660a96986f2b60e4872227d1257045b48ba7c0fd3b08e806634b4&o=,10,Naran
Musketeers Resort Naran,https://www.booking.com/hotel/pk/musketeers-resort-naran-naran1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1235402201_417328485_2_1_0&highlighted_blocks=1235402201_417328485_2_1_0&matching_block_id=1235402201_417328485_2_1_0&sr_pri_blocks=1235402201_417328485_2_1_0__722000&from=searchresults,7220,6.3,48.0,Nārān,1.5,Standard Double Room,1 single bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/574511186.webp?k=0aa28d19865ea7f624c4717a2b073451c3ba677ef0d1fe2dd15c8ba3fac8e7dd&o=,4,Naran
The Barcelo Hotel,https://www.booking.com/hotel/pk/the-barcelo.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAyMDRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALbl8LTBsACAdICJGE4NmM2Mzk0LWNjMzMtNGM3NC04MWU1LTU2MzUwYzk0NTMyYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770204&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c61158eddfcd02d7&srepoch=1785760753&all_sr_blocks=1205133401_392729527_3_1_0&highlighted_blocks=1205133401_392729527_3_1_0&matching_block_id=1205133401_392729527_3_1_0&sr_pri_blocks=1205133401_392729527_3_1_0__1979910&from=searchresults,19799,9.2,63.0,Nārān,1.8,Double Room,1 double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/718319866.webp?k=61071efe91a90470f0dc2440f916ea6e1ae572e8b098170a5fac2ec0509d0dbe&o=,11,Naran
