property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Doubletree By Hilton Nathiagali,https://www.booking.com/hotel/pk/doubletree-by-hilton-nathiagali.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=1434884206_424905053_2_2_0&highlighted_blocks=1434884206_424905053_2_2_0&matching_block_id=1434884206_424905053_2_2_0&sr_pri_blocks=1434884206_424905053_2_2_0__7460000&from_sustainable_property_sr=1&from=searchresults,74600,8.1,363.0,Nathia Gali,100.0,King Room with Mountain View,1 extra-large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/733395173.webp?k=8fd6145df472a06eabaa5b49c903bcabe2e043e6bd1bb64eb26b3a9571ea7167&o=,16,Nathia Gali
The Cloud Xpress,https://www.booking.com/hotel/pk/the-cloud.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=754199610_422533883_3_1_0&highlighted_blocks=754199610_422533883_3_1_0&matching_block_id=754199610_422533883_3_1_0&sr_pri_blocks=754199610_422533883_3_1_0__2037000&from=searchresults,20370,6.7,188.0,Nathia Gali,1.8,Double Room with Balcony,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/757633450.webp?k=9231650f3aedb78069269fb41ef06b0189c1c3b27b0b9a83b8c09a49a76490b9&o=,12,Nathia Gali
Green Executive Hotel,https://www.booking.com/hotel/pk/green-executive.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=1495456001_441030448_2_0_0&highlighted_blocks=1495456001_441030448_2_0_0&matching_block_id=1495456001_441030448_2_0_0&sr_pri_blocks=1495456001_441030448_2_0_0__1400000&from=searchresults,14000,7.0,75.0,Nathia Gali,3.3,Standard Double Room,"3 beds (1 extra-large double, 1 sofa bed, 1 futon)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/767078392.webp?k=2dc2feb0ac5420656050f70f7e603a65fbc003fad9f91d626acd8b33a036ad20&o=,10,Nathia Gali
Umda Hotel,https://www.booking.com/hotel/pk/umda.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=1651614601_437155975_3_0_0&highlighted_blocks=1651614601_437155975_3_0_0&matching_block_id=1651614601_437155975_3_0_0&sr_pri_blocks=1651614601_437155975_3_0_0__1299900&from=searchresults,12999,6.8,39.0,Nathia Gali,4.3,Deluxe Room (2 Adults + 1 Child),1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/873051372.webp?k=2a81ab6a5ffa8ac09e01586b5673546ca3661943977b9479741701a4b62e2e90&o=,5,Nathia Gali
Richmond Boutique Hotel,https://www.booking.com/hotel/pk/richmond-boutique-nathia-gali.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=777511401_353783616_2_1_0_763304&highlighted_blocks=777511401_353783616_2_1_0_763304&matching_block_id=777511401_353783616_2_1_0_763304&sr_pri_blocks=777511401_353783616_2_1_0_763304_2450000&from=searchresults,24500,7.0,86.0,Nathia Gali,1.0,King Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/321830429.webp?k=86f49696888b3c574897f19c61665174261b3601f1a154233b04edab9c99230f&o=,8,Nathia Gali
Pine Peaks Heaven,https://www.booking.com/hotel/pk/pine-peaks-heaven.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=1630977404_441264840_4_2_0&highlighted_blocks=1630977404_441264840_4_2_0&matching_block_id=1630977404_441264840_4_2_0&sr_pri_blocks=1630977404_441264840_4_2_0__1800000&from=searchresults,18000,5.4,18.0,Nathia Gali,1.8,Deluxe Double Room,"2 beds (1 extra-large double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/861768445.webp?k=0699877610115a16891d7ff2db67f5c805a9bf11975cb2f45aa490efd24136f0&o=,14,Nathia Gali
"Gali's End By Roomy, Kalabagh Nathiagali",https://www.booking.com/hotel/pk/galis-end-by-roomy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=915569105_441524830_0_1_0&highlighted_blocks=915569105_441524830_0_1_0&matching_block_id=915569105_441524830_0_1_0&sr_pri_blocks=915569105_441524830_0_1_0__5800000&from=searchresults,58000,8.8,160.0,Nathia Gali,2.9,Deluxe Double Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/414221212.webp?k=25379ec2e30c6c04b05713a298e3ae6eb719e02bacd1933c1b09630a66c7d2f1&o=,11,Nathia Gali
"Hillside Cottages, Kala Bagh",https://www.booking.com/hotel/pk/hilltop-resort-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=798625628_396019472_3_2_0&highlighted_blocks=798625628_396019472_3_2_0&matching_block_id=798625628_396019472_3_2_0&sr_pri_blocks=798625628_396019472_3_2_0__1333300&from=searchresults,13333,5.1,33.0,Nathia Gali,3.5,Standard Double Room,"2 beds (1 extra-large double, 1 futon)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/863747360.webp?k=d5aae2601d2e6e6cfec4a9db31c4bbdeea494554e1356999870766b1f9705ad4&o=,2,Nathia Gali
Bellevue Luxury Apartments Nathia Gali,https://www.booking.com/hotel/pk/bellevue-luxury-apartments-nathia-gali-nathia-gali.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=668402401_378652098_4_2_0&highlighted_blocks=668402401_378652098_4_2_0&matching_block_id=668402401_378652098_4_2_0&sr_pri_blocks=668402401_378652098_4_2_0__4300000&from=searchresults,43000,9.2,25.0,Nathia Gali,1.8,Apartment with Mountain View,2 extra-large double beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/451726824.webp?k=84d797900f2033c52968333d342d38b7c9f05c51c2698ce731c05ff443f475ff&o=,10,Nathia Gali
nathiagali green view resort by room,https://www.booking.com/hotel/pk/green-view-guest-house-nathiagali-by-roomy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzAzMjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALLl8LTBsACAdICJDljZjEzZjU2LTdkMGUtNGE2Mi1iZTA4LWY1YjAyMDEyMjA0N9gCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2770324&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7c9c58e5844b0241&srepoch=1785760727&all_sr_blocks=1319279710_404642173_2_2_0&highlighted_blocks=1319279710_404642173_2_2_0&matching_block_id=1319279710_404642173_2_2_0&sr_pri_blocks=1319279710_404642173_2_2_0__950000&from=searchresults,9500,4.0,18.0,Nathia Gali,3.2,Deluxe Double or Twin Room,2 single beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/885305273.webp?k=ff13bd95be2a809e8f10d429340d1b6e7e7592bb84f405dfb999a34c903cebdc&o=,3,Nathia Gali
