property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Citymax Hotel,https://www.booking.com/hotel/pk/citymax-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1387001907_410707083_3_0_0&highlighted_blocks=1387001907_410707083_3_0_0&matching_block_id=1387001907_410707083_3_0_0&sr_pri_blocks=1387001907_410707083_3_0_0__600000&from=searchresults,6000,5.7,61.0,Rawalpindi,7.0,Superior Triple Room,Multiple bed types,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/838685300.webp?k=9d0e19f67e9402338c8c23eb11dc791c183b626bec7f655843bcd6894ae9baa2&o=,10,Rawalpindi
"Pearl Continental Hotel, Rawalpindi",https://www.booking.com/hotel/pk/pearl-continental.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__2665423&from=searchresults,26654,8.1,939.0,Rawalpindi,1.6,Standard Room Smoking,2 single beds,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/607039815.webp?k=555d5138a4b649bd39ed8afe3d3898d9930b0ef6275b027bd6cac74180360f0d&o=,13,Rawalpindi
Al Sakhawat Hotel,https://www.booking.com/hotel/pk/al-sakhawat-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1315202403_404347309_2_0_0&highlighted_blocks=1315202403_404347309_2_0_0&matching_block_id=1315202403_404347309_2_0_0&sr_pri_blocks=1315202403_404347309_2_0_0__200000&from=searchresults,2000,2.9,13.0,Rawalpindi,7.0,Family Room,"2 beds (1 single, 1 double)",0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/618453469.webp?k=b08f08ad8ab3b5b0a0d73005db66764f5aec4e99fb84690b56a266729ae079a6&o=,5,Rawalpindi
Hotel One Vogue Mall 35 Rawalpindi,https://www.booking.com/hotel/pk/mall-35-one-vouge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1352399101_407568434_2_1_0&highlighted_blocks=1352399101_407568434_2_1_0&matching_block_id=1352399101_407568434_2_1_0&sr_pri_blocks=1352399101_407568434_2_1_0__1550000&from=searchresults,15500,7.7,241.0,Rawalpindi,1.9,Deluxe King Room,1 double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/642817806.webp?k=d06f65d9ef191cc5f79d7bf86750d2e86fad09f2997aedbc7c4849cfa5e7c5e9&o=,10,Rawalpindi
Noir One Apartment With 2 Ac,https://www.booking.com/hotel/pk/noir-one-apartment-with-2-ac.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1698768601_441533879_3_0_0&highlighted_blocks=1698768601_441533879_3_0_0&matching_block_id=1698768601_441533879_3_0_0&sr_pri_blocks=1698768601_441533879_3_0_0__816000&from=searchresults,8160,,,Rawalpindi,6.0,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/901720943.webp?k=a2213ba91d1afba6f1fdaca67b564c5a1f58dbff44dcaad0265218574c836b4a&o=,5,Rawalpindi
Pine Apartments Civic center bahria town Islamabad,https://www.booking.com/hotel/pk/pine-apartments-bahria-town-islamabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=881603501_360746008_4_0_0&highlighted_blocks=881603501_360746008_4_0_0&matching_block_id=881603501_360746008_4_0_0&sr_pri_blocks=881603501_360746008_4_0_0__667500&from=searchresults,6675,7.8,417.0,Rawalpindi,7.5,One-Bedroom Apartment,"3 beds (2 sofa beds, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/471501408.webp?k=1410324b3950471d8c291e4bb7104a3410eb8af4450f684cd240bfbd171adebd&o=,14,Rawalpindi
Safari Club 4,https://www.booking.com/hotel/pk/safari-club.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=333216604_366587948_2_2_0&highlighted_blocks=333216604_366587948_2_2_0&matching_block_id=333216604_366587948_2_2_0&sr_pri_blocks=333216604_366587948_2_2_0__950000&from=searchresults,9500,7.8,490.0,Rawalpindi,6.9,Standard Suite,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/154116892.webp?k=68958a70d2b951997ff461e47a5a93b28898c0bbaae0658c41f60cb919b293b2&o=,15,Rawalpindi
"Avari Xpress, Islamabad",https://www.booking.com/hotel/pk/avari-xpress-residences-islamabad-expressway.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=584020301_228137210_2_1_0&highlighted_blocks=584020301_228137210_2_1_0&matching_block_id=584020301_228137210_2_1_0&sr_pri_blocks=584020301_228137210_2_1_0__7320&from=searchresults,20341,8.2,218.0,Rawalpindi,7.0,Superior Queen Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/851479858.webp?k=2f3ad0648d26032f7837889a403ed83500db4a1301f071ff7bc95d44e90189ef&o=,12,Rawalpindi
Centaurus Tower,https://www.booking.com/hotel/pk/centaurus-tower-islammabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1374491401_409604072_2_0_0&highlighted_blocks=1374491401_409604072_2_0_0&matching_block_id=1374491401_409604072_2_0_0&sr_pri_blocks=1374491401_409604072_2_0_0__4200000&from=searchresults,42000,,,Rawalpindi,7.7,Apartment,"2 beds (1 extra-large double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/656385489.webp?k=556aa3a3713817e8f1d039ad5b76bef3bafd27f48bec8c9642e5e943fc051243&o=,4,Rawalpindi
The Holton Stays by Bayti,https://www.booking.com/hotel/pk/the-holton-by-bayti.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzI1ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKujsLTBsACAdICJDM4ZDNiYzA1LTEwOWUtNDU1NS04YmFhLTE1MzQ4MGIxZTY3OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2772585&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a6ce56975cc70174&srepoch=1785759601&all_sr_blocks=1515905204_423308635_2_42_0&highlighted_blocks=1515905204_423308635_2_42_0&matching_block_id=1515905204_423308635_2_42_0&sr_pri_blocks=1515905204_423308635_2_42_0__3400&from=searchresults,9448,8.9,182.0,Rawalpindi,7.5,Deluxe King Studio,1 extra-large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/782341659.webp?k=2b0492e3b795056ae2a0c411c018608ea8e45283be2ecc6b7544c36bd6ea4708&o=,16,Rawalpindi
