property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hilton Resort Malamjabba by Khan Familia Travels,https://www.booking.com/hotel/pk/hilton-resort-malamjabba-by-khan-familia.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1253450503_397865099_2_2_0_562050&highlighted_blocks=1253450503_397865099_2_2_0_562050&matching_block_id=1253450503_397865099_2_2_0_562050&sr_pri_blocks=1253450503_397865099_2_2_0_562050_778050&from=searchresults,7781,7.1,53.0,Malam Jabba,9.3,Standard Double or Twin Room,Multiple bed types,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/583690292.webp?k=8b21293daee6919752472a41633639dafd73ab69629710ed7329011aa7783ca7&o=,3,Shangla
Al-Sadiq Resort Malam Jabba Swat,https://www.booking.com/hotel/pk/al-sadiq-resort-malam-jabba-swat.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1682078202_439945896_3_41_0&highlighted_blocks=1682078202_439945896_3_41_0&matching_block_id=1682078202_439945896_3_41_0&sr_pri_blocks=1682078202_439945896_3_41_0__765000&from=searchresults,7650,9.0,1.0,Malam Jabba,7.5,Double Room,"2 beds (1 double, 1 sofa bed)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/891858955.webp?k=df66ae9b78e4ae76584c7607b36ff7737d3787a6048fce8e88a1ba573e80691d&o=,10,Shangla
"Eagle Nest, Malam Jabba by LMC",https://www.booking.com/hotel/pk/eagle-nest-malam-jabba-by-lmc.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1046561801_396019206_3_2_0&highlighted_blocks=1046561801_396019206_3_2_0&matching_block_id=1046561801_396019206_3_2_0&sr_pri_blocks=1046561801_396019206_3_2_0__850000&from=searchresults,8500,7.3,13.0,Swat,7.3,Standard Double Room,"3 beds (1 extra-large double, 1 sofa bed, 1 futon)",0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/478901710.webp?k=585465cf33c3e207198496b90e294e5f1d5b714902fdee7772805667766cb7dd&o=,10,Shangla
The Corporate Lodges Hotel by Khan Familia Travels,https://www.booking.com/hotel/pk/the-corporate-lodges-by-khan-familia.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1345783201_406933528_2_41_0_776919&highlighted_blocks=1345783201_406933528_2_41_0_776919&matching_block_id=1345783201_406933528_2_41_0_776919&sr_pri_blocks=1345783201_406933528_2_41_0_776919_1004400&from=searchresults,10044,4.1,6.0,Swat,7.8,Standard Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/659436373.webp?k=ade4db3018fd19ca54c30d9dac5e912ca4918640c94de0d72ba6dba7a33380ef&o=,11,Shangla
Shangrella Hotel Malam Jabba,https://www.booking.com/hotel/pk/shangrella-malam-jabba.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1649885401_437047437_2_2_0&highlighted_blocks=1649885401_437047437_2_2_0&matching_block_id=1649885401_437047437_2_2_0&sr_pri_blocks=1649885401_437047437_2_2_0__700000&from=searchresults,7000,,,Malam Jabba,8.3,Double Room with Mountain View,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/871673152.webp?k=2af98d9049b9f881870325cd7a953a8e34ccd5036635e4fef4a1223380945b3b&o=,10,Shangla
Snow Land Hotel and Restaurant,https://www.booking.com/hotel/pk/snow-land-and-restaurant.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1695492301_441222599_3_42_0&highlighted_blocks=1695492301_441222599_3_42_0&matching_block_id=1695492301_441222599_3_42_0&sr_pri_blocks=1695492301_441222599_3_42_0__212500&from=searchresults,2125,8.7,3.0,Malam Jabba,10.2,Double Room,"2 beds (1 single, 1 double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/899895296.webp?k=7b609fab1fa245d98cc65befe98d6a0f6a784b273b97f231971e4ec1417b9849&o=,14,Shangla
4 Season Hotel and suites Malam Jabba,https://www.booking.com/hotel/pk/4-season-and-suites-malam-jabba.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=950397801_367678768_3_42_0&highlighted_blocks=950397801_367678768_3_42_0&matching_block_id=950397801_367678768_3_42_0&sr_pri_blocks=950397801_367678768_3_42_0__315000&from=searchresults,3150,6.9,21.0,Malam Jabba,10.3,Deluxe Quadruple Room,"2 beds (1 single, 1 extra-large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/630004181.webp?k=949175fe48b9855bf93ccb3bedf4373b5842faec2096559b5fd5df488f61aefb&o=,14,Shangla
Pearl Continental Hotel Malam Jabba,https://www.booking.com/hotel/pk/pearl-continental-malam-jabba-swat.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=660680301_343665404_2_41_0&highlighted_blocks=660680301_343665404_2_41_0&matching_block_id=660680301_343665404_2_41_0&sr_pri_blocks=660680301_343665404_2_41_0__13500&from=searchresults,37514,8.3,232.0,Swat,10.5,Deluxe King Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/591219872.webp?k=ab6585f9ff9230079eca18e21e230fe51ec66db0af2b1a7532fdc2671011f559&o=,14,Shangla
Multiple Hotels in Malam Jabba Swat,https://www.booking.com/hotel/pk/multiple-hotels-in-malam-jabba-swat.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1697138601_441394067_5_2_0&highlighted_blocks=1697138601_441394067_5_2_0&matching_block_id=1697138601_441394067_5_2_0&sr_pri_blocks=1697138601_441394067_5_2_0__1615000&from=searchresults,16150,,,Malam Jabba,10.4,Double Room with Mountain View,"3 beds (1 single, 2 doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/900840705.webp?k=e0d134db37f8dea4dd1790f22c853248af365696f419f76b25a12884a241170d&o=,4,Shangla
Malam jabba Hotel reservation,https://www.booking.com/hotel/pk/malam-jabba-reservation.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDGNpdHlfNjE0NzQ0OUgJWARotQGIAQGYATO4AQfIAQzYAQPoAQH4AQGIAgGoAgG4AreXwtMGwAIB0gIkNjQ5ODg1MjItYmI0ZC00NGZmLThmMTEtNTc4ODVjZGRhNmUz2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=6147449&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2bdf58db5cf80052&srepoch=1785760711&all_sr_blocks=1673226101_439092030_5_2_0&highlighted_blocks=1673226101_439092030_5_2_0&matching_block_id=1673226101_439092030_5_2_0&sr_pri_blocks=1673226101_439092030_5_2_0__935000&from=searchresults,9350,,,Swat,10.1,Family Room,"2 beds (1 single, 1 extra-large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/887145264.webp?k=0bbcd95ca50ccb3daf3e703c5c5af127a9b429dd53626b252d2b7442fa2d973a&o=,10,Shangla
