property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Mak Palace Hotel,https://www.booking.com/hotel/pk/mak-palace.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1633366601_433804694_2_1_0&highlighted_blocks=1633366601_433804694_2_1_0&matching_block_id=1633366601_433804694_2_1_0&sr_pri_blocks=1633366601_433804694_2_1_0__765000&from=searchresults,7650,8.7,20.0,Sialkot,2.7,Deluxe Double Room (2 Adults + 1 Child),1 single bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/863570429.webp?k=55e88b0c7527d467080734d945da43d8d6fd433ab5e76b9fecb6edf372faa4ac&o=,11,Sialkot
Urban Apartments,https://www.booking.com/hotel/pk/urban-apartments-sialkot1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1623872001_433130470_2_0_0&highlighted_blocks=1623872001_433130470_2_0_0&matching_block_id=1623872001_433130470_2_0_0&sr_pri_blocks=1623872001_433130470_2_0_0__600000&from=searchresults,6000,6.4,5.0,Sialkot,10.0,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/857931212.webp?k=54ecff32a7d95a0a1ff8a81ab2ec0db2c25d6cd3e5d99751f4d905166cb23754&o=,4,Sialkot
Marigold Hotel Sialkot,https://www.booking.com/hotel/pk/marigold-and-restaurant-sialkot1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1529902601_424533132_2_41_0&highlighted_blocks=1529902601_424533132_2_41_0&matching_block_id=1529902601_424533132_2_41_0&sr_pri_blocks=1529902601_424533132_2_41_0__851400&from=searchresults,8514,8.8,62.0,Sialkot,9.3,Double Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/811097478.webp?k=f26ade35fae0ff58c09ac4abaaf099467e3ca038ff47f4d0b813d01c69100973&o=,12,Sialkot
Royaute Luxury Hotel Sialkot,https://www.booking.com/hotel/pk/royaute-luxury-sialkot.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=771482301_384413270_2_1_0&highlighted_blocks=771482301_384413270_2_1_0&matching_block_id=771482301_384413270_2_1_0&sr_pri_blocks=771482301_384413270_2_1_0__1200000&from=searchresults,12000,6.5,229.0,Sialkot,1.7,Standard Double Room,1 large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/323401745.webp?k=967bef4a3e89700c6e48f950fec2f079c75c7803e98a522e797f20e5c3f57733&o=,11,Sialkot
Hotel Javson,https://www.booking.com/hotel/pk/javson-sialkot3.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1188035903_391149743_2_1_0&highlighted_blocks=1188035903_391149743_2_1_0&matching_block_id=1188035903_391149743_2_1_0&sr_pri_blocks=1188035903_391149743_2_1_0__1000000&from=searchresults,10000,4.8,51.0,Sialkot,1.6,Standard King Room,1 large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/545555761.webp?k=f5b50ea68f34aca8f9b91fdb2a97a89ded81d54267420ebdc9626a66809d8993&o=,12,Sialkot
Hotel de Raj Sialkot,https://www.booking.com/hotel/pk/de-raj-sialkot.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=680390802_368422386_2_1_0&highlighted_blocks=680390802_368422386_2_1_0&matching_block_id=680390802_368422386_2_1_0&sr_pri_blocks=680390802_368422386_2_1_0__1000000&from=searchresults,10000,5.2,69.0,Sialkot,2.9,Budget Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/273593447.webp?k=1532ebbe92ad1f77f43c05a6de5e483c9a98214cd296eaf6654cbdeda9d565e4&o=,10,Sialkot
Hotel Taj Palace,https://www.booking.com/hotel/pk/taj-palace-sialkot2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1369920403_409209049_2_1_0&highlighted_blocks=1369920403_409209049_2_1_0&matching_block_id=1369920403_409209049_2_1_0&sr_pri_blocks=1369920403_409209049_2_1_0__810000&from=searchresults,8100,4.1,13.0,Sialkot,1.8,Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/880378665.webp?k=516af15ef9d83aaa32e1e99c6b9ee56801194afb060fe130e757cbf8dc6a2743&o=,5,Sialkot
Luxury Single Bed Flat Apartment Citi Housing Sialkot,https://www.booking.com/hotel/pk/luxury-single-bed-flat-apartment-citi-housing-sialkot.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1659910001_437895298_3_0_0&highlighted_blocks=1659910001_437895298_3_0_0&matching_block_id=1659910001_437895298_3_0_0&sr_pri_blocks=1659910001_437895298_3_0_0__960000&from=searchresults,9600,10,1.0,Sialkot,10.7,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/878675097.webp?k=cb5f35d7d2b666c2f9537ea0e42f91083879208f2495dc6e5e80335cf257062b&o=,5,Sialkot
Luxury Single Bed apartment Secured and Gated,https://www.booking.com/hotel/pk/luxury-single-bed-apartment-secured-and-gated.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1659916801_437895615_3_0_0&highlighted_blocks=1659916801_437895615_3_0_0&matching_block_id=1659916801_437895615_3_0_0&sr_pri_blocks=1659916801_437895615_3_0_0__1250000&from=searchresults,12500,,,Sialkot,10.7,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/878694508.webp?k=253c91f4ec39fcdb9e35c5076dc518ccf5c50d501b1e0ef7ac0a236210e72566&o=,4,Sialkot
Luxury Apartment Citi Housing Society Sialkot,https://www.booking.com/hotel/pk/luxury-apartment-citi-housing-society-sialkot.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ3MTBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdj8LTBsACAdICJDg3MTUzMGFkLWIzYzYtNDQzMC1hNDFjLTdiOGQxZDJkYmYwMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774710&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9f5f56ced5e405ba&srepoch=1785759649&all_sr_blocks=1659912801_437895421_2_0_0&highlighted_blocks=1659912801_437895421_2_0_0&matching_block_id=1659912801_437895421_2_0_0&sr_pri_blocks=1659912801_437895421_2_0_0__1000000&from=searchresults,10000,,,Sialkot,10.7,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/878688582.webp?k=a7a3889cbab23ebbcb915b30548e92eab1dde8b80adadecc1042f1e5be40692b&o=,5,Sialkot
