property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Republika Central Hotel & Resort,https://www.booking.com/hotel/pk/summit-resorts-republika-central.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=989664501_372911295_2_1_0&highlighted_blocks=989664501_372911295_2_1_0&matching_block_id=989664501_372911295_2_1_0&sr_pri_blocks=989664501_372911295_2_1_0__805000&from=searchresults,8050,8.0,134.0,Abbottābād,10.7,Standard Double Room,1 large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/811614941.webp?k=2034436578bc271d7960d8f616bd00188d80543315cb710de873f4a57a95fdd9&o=,12,Abbottabad
The Canvas Hotel,https://www.booking.com/hotel/pk/the-canvas.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1614793503_432360078_2_1_0&highlighted_blocks=1614793503_432360078_2_1_0&matching_block_id=1614793503_432360078_2_1_0&sr_pri_blocks=1614793503_432360078_2_1_0__499900&from=searchresults,4999,8.8,34.0,Abbottābād,3.4,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/855054379.webp?k=e22fced6f37471b17774d25bee45a167cf8e8509b99c85d8f9c0cd11ec20789f&o=,11,Abbottabad
Sarai Abbottabad,https://www.booking.com/hotel/pk/sarai-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1445022106_415912797_2_1_0&highlighted_blocks=1445022106_415912797_2_1_0&matching_block_id=1445022106_415912797_2_1_0&sr_pri_blocks=1445022106_415912797_2_1_0__570000&from=searchresults,5700,8.8,77.0,Abbottābād,3.0,Deluxe Double or Twin Room,"3 beds (2 singles, 1 sofa bed)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/732212106.webp?k=c2c1c8536efe38e30967edc216faf1e8e85a666fc20a46896976c2697ba6cac7&o=,11,Abbottabad
Stargaze Hotel & Apartment,https://www.booking.com/hotel/pk/stargaze-amp-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=192430121_224257344_0_0_0&highlighted_blocks=192430121_224257344_0_0_0&matching_block_id=192430121_224257344_0_0_0&sr_pri_blocks=192430121_224257344_0_0_0__350000&from=searchresults,3500,7.4,61.0,Abbottābād,1.8,Standard Twin Room,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/92437560.webp?k=a70b22864b01087f6527a96e9c916257989afe8e26b6b1af0f33420bdf7285c1&o=,10,Abbottabad
City Hotel,https://www.booking.com/hotel/pk/city-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1571523002_428222722_2_1_0&highlighted_blocks=1571523002_428222722_2_1_0&matching_block_id=1571523002_428222722_2_1_0&sr_pri_blocks=1571523002_428222722_2_1_0__1000000&from=searchresults,10000,9.3,25.0,Abbottābād,350.0,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/874865583.webp?k=e0df906da28cb4452dcc2c84061903888a807da5ede9678c9ce7e10778aaf12a&o=,10,Abbottabad
Hotel One Abbottabad,https://www.booking.com/hotel/pk/one-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=176096904_413713814_2_1_0&highlighted_blocks=176096904_413713814_2_1_0&matching_block_id=176096904_413713814_2_1_0&sr_pri_blocks=176096904_413713814_2_1_0__1600000&from=searchresults,16000,8.5,125.0,Abbottābād,5.2,Deluxe Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/239879868.webp?k=43d218009bbb1326f2d37e5a8d8a982c07b250e7c037affebb5959131f5260f9&o=,13,Abbottabad
Republika Urban Hotel by Summit Resorts,https://www.booking.com/hotel/pk/republika-by-summit-resorts.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=950585001_367692689_3_1_0&highlighted_blocks=950585001_367692689_3_1_0&matching_block_id=950585001_367692689_3_1_0&sr_pri_blocks=950585001_367692689_3_1_0__726513&from=searchresults,7265,8.4,163.0,Abbottābād,3.6,Standard Double Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/458173950.webp?k=ef70afeaff0337781630c4eb3611769488cbbc333e14194af26be7f22b0b8f1c&o=,9,Abbottabad
Private room,https://www.booking.com/hotel/pk/private-room-abbottabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1691263701_440773726_2_2_0&highlighted_blocks=1691263701_440773726_2_2_0&matching_block_id=1691263701_440773726_2_2_0&sr_pri_blocks=1691263701_440773726_2_2_0__390830&from=searchresults,3908,10,2.0,Abbottābād,2.9,Double Room with Private Bathroom,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/898940765.webp?k=c4869a2d22ca56e068be0b9486a90b16f3920b3fd2fa4b20fd9494ea104a2ed1&o=,4,Abbottabad
Ranim Family Lodge - Abbottabad,https://www.booking.com/hotel/pk/ranimfamilylodge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1531225703_424643347_2_0_0&highlighted_blocks=1531225703_424643347_2_0_0&matching_block_id=1531225703_424643347_2_0_0&sr_pri_blocks=1531225703_424643347_2_0_0__495000&from=searchresults,4950,7.0,8.0,Abbottābād,2.4,Deluxe Double Room,1 extra-large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/867759087.webp?k=de3a58c3f9bbf37b353d382163f2432bb34d6056d5bfaa42fb127dfb7cfeef4f&o=,4,Abbottabad
Hotel Red Roof & Restaurant,https://www.booking.com/hotel/pk/red-roof-amp-restaurant.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NTQyNzBICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKHlsLTBsACAdICJDViODA4MTFhLWY5NDMtNGMwOS05NmExLWZiZTNlY2E2OTVkMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2754270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=921f5883b4b60176&srepoch=1785760532&all_sr_blocks=1039023516_433128447_3_42_0&highlighted_blocks=1039023516_433128447_3_42_0&matching_block_id=1039023516_433128447_3_42_0&sr_pri_blocks=1039023516_433128447_3_42_0__475000&from=searchresults,4750,8.3,59.0,Abbottābād,7.2,Economy Triple Room,3 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/844977898.webp?k=8fe7a38445bdab5c07932b4588b7d43eeecc23e72b0e7d7ac200b3e3d20d18df&o=,5,Abbottabad
