property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hotel Inn Hyderabad,https://www.booking.com/hotel/pk/inn-hyderabad-hyderabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=819557603_344584079_2_2_0&highlighted_blocks=819557603_344584079_2_2_0&matching_block_id=819557603_344584079_2_2_0&sr_pri_blocks=819557603_344584079_2_2_0__405000&from=searchresults,4050,,,Hyderabad,3.1,Budget Double Room,2 single beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/339015620.webp?k=fd30d5f6f165528d5f5037c4803125e1aa10eec40a1e0e35f37beddfc52abdff&o=,6,Hyderabad
Embassy inn Guest House Hyderabad,https://www.booking.com/hotel/pk/embassy-boys-hostel-hyderabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=942385704_430761994_0_0_0&highlighted_blocks=942385704_430761994_0_0_0&matching_block_id=942385704_430761994_0_0_0&sr_pri_blocks=942385704_430761994_0_0_0__500000&from=searchresults,5000,6.6,114.0,Hyderabad,3.1,Deluxe Family Room,"3 beds (1 single, 2 extra-large doubles)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/667512237.webp?k=1a7229d520bd91d4703c26fded21389e049838b3adf229c737dbf477cbb6278d&o=,4,Hyderabad
Al Raheem Guest House,https://www.booking.com/hotel/pk/al-raheem-guest-house-hyderabad3.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=1358713901_408193597_2_1_0&highlighted_blocks=1358713901_408193597_2_1_0&matching_block_id=1358713901_408193597_2_1_0&sr_pri_blocks=1358713901_408193597_2_1_0__499500&from=searchresults,4995,8.0,23.0,Hyderabad,3.0,Double Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/646487997.webp?k=899b2d4e012ef8b07bce51c02c2fd5f9a337c248393e0acfc7c509c5a7e4b292&o=,8,Hyderabad
Grand Blu Hotel,https://www.booking.com/hotel/pk/grand-blu.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=1420525101_436959687_2_1_0&highlighted_blocks=1420525101_436959687_2_1_0&matching_block_id=1420525101_436959687_2_1_0&sr_pri_blocks=1420525101_436959687_2_1_0__1798600&from=searchresults,17986,8.5,52.0,Hyderabad,8.4,Deluxe King Room,1 extra-large double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/877947693.webp?k=0f3ef2667840912738371d0cb922d18018455c2ff02d6ac9280d11a5ec4e61a9&o=,13,Hyderabad
Indus Hotel Hyderabad,https://www.booking.com/hotel/pk/indus-hyderabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=395380702_392522082_0_41_0&highlighted_blocks=395380702_392522082_0_41_0&matching_block_id=395380702_392522082_0_41_0&sr_pri_blocks=395380702_392522082_0_41_0__2800000&from=searchresults,28000,7.4,54.0,Hyderabad,3.4,Deluxe Double or Twin Room,2 single beds,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/539231994.webp?k=adbd37f79c2c86ecac47de6e64c95866c6ca26b0b5f9954f9b7e5a775f56335d&o=,12,Hyderabad
PC Legacy Hyderabad,https://www.booking.com/hotel/pk/pc-legacy-hyderabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__10379&from=searchresults,28841,7.0,6.0,Hyderabad,7.6,Deluxe Single Room,1 extra-large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/750019271.webp?k=2acd76854dc8d831f59c69ed11a0bc5af9dd347a9baf63d0c789b8f731c5c9e8&o=,2,Hyderabad
Al Rehman guest hous,https://www.booking.com/hotel/pk/rehaish-inn-hyderabad.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=273571903_425569577_3_2_0&highlighted_blocks=273571903_425569577_3_2_0&matching_block_id=273571903_425569577_3_2_0&sr_pri_blocks=273571903_425569577_3_2_0__700000&from=searchresults,7000,6.3,89.0,Hyderabad,3.3,Family Double Room,"2 beds (1 single, 1 large double)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/348321733.webp?k=8a59686f90f67cb69d3e0548161e7d697763d4b87d41dde0d88fb4ad577b6653&o=,8,Hyderabad
AWARI in Guest House,https://www.booking.com/hotel/pk/avari-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=1370130502_409226033_0_1_0&highlighted_blocks=1370130502_409226033_0_1_0&matching_block_id=1370130502_409226033_0_1_0&sr_pri_blocks=1370130502_409226033_0_1_0__650000&from=searchresults,6500,8.0,4.0,Hyderabad,3.1,Double or Twin Room,2 single beds,1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/653539576.webp?k=9d89b5a6dd56dc04543b70308a20d06596dd831fe08e7274893a6d464b74a3ae&o=,4,Hyderabad
Hotel Serena,https://www.booking.com/hotel/pk/serena.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=1210636301_393238627_1_1_0%2C1210636301_393238627_1_1_0&highlighted_blocks=1210636301_393238627_1_1_0%2C1210636301_393238627_1_1_0&matching_block_id=1210636301_393238627_1_1_0&sr_pri_blocks=1210636301_393238627_1_1_0__498000%2C1210636301_393238627_1_1_0__498000&from=searchresults,9960,6.7,3.0,Hyderabad,3.2,Double Room,2 double beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/559561932.webp?k=645525b346cdd1b6e37e664ea1dde433beaf859cd722aaffca36fd64f20581a5&o=,4,Hyderabad
Hadi Nager FLAT,https://www.booking.com/hotel/pk/hadi-nager-flat.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjI2ODVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKplMLTBsACAdICJGMzNTQyMzk1LTU0NDctNDQxZC1hZTQ5LWM1NmVmYWNmNGI3YdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2762685&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=00bd581470f20142&srepoch=1785760300&all_sr_blocks=1554879001_426627318_2_0_0&highlighted_blocks=1554879001_426627318_2_0_0&matching_block_id=1554879001_426627318_2_0_0&sr_pri_blocks=1554879001_426627318_2_0_0__170000&from=searchresults,1700,,,Hyderabad,4.7,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/801043572.webp?k=2e8e0195acb1c9871f8204f7f4e20d060a2d84f18bc4ac3e6e6e3ce73920c205&o=,4,Hyderabad
