property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
AS Guest Rooms,https://www.booking.com/hotel/pk/as-guest-rooms-gujranwala.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1387171701_410727623_2_0_0&highlighted_blocks=1387171701_410727623_2_0_0&matching_block_id=1387171701_410727623_2_0_0&sr_pri_blocks=1387171701_410727623_2_0_0__450000&from=searchresults,4500,8.4,28.0,Ado Rāi,11.1,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/666389176.webp?k=af2a81d9c6dc4158972e00001edda1bced056c95f4f33d8e054dfca43ad10ea3&o=,10,Kamoke
Prime Apartments,https://www.booking.com/hotel/pk/prime-plaza-gujranwala1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1123659701_385093895_2_0_0&highlighted_blocks=1123659701_385093895_2_0_0&matching_block_id=1123659701_385093895_2_0_0&sr_pri_blocks=1123659701_385093895_2_0_0__450000&from=searchresults,4500,5.0,22.0,Gujrānwāla,11.1,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/727427470.webp?k=d67feeef4721993977da44f8bbe3470fabb275306cc1d8e499f57d726d07d261&o=,4,Kamoke
Dream Plaza,https://www.booking.com/hotel/pk/dream-plaza.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1137401601_386357289_2_0_0&highlighted_blocks=1137401601_386357289_2_0_0&matching_block_id=1137401601_386357289_2_0_0&sr_pri_blocks=1137401601_386357289_2_0_0__450000&from=searchresults,4500,4.3,70.0,Gujrānwāla,11.2,Apartment,2 double beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/520101940.webp?k=720abbb4206635bd18e6696e92923a009be2be49ff0e731c6f84d2add08ad980&o=,4,Kamoke
MUGHAL MAHAL HOTEL,https://www.booking.com/hotel/pk/mughal-mahal.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=886471801_391459443_2_41_0&highlighted_blocks=886471801_391459443_2_41_0&matching_block_id=886471801_391459443_2_41_0&sr_pri_blocks=886471801_391459443_2_41_0__1600000&from=searchresults,16000,8.3,177.0,Gujrānwāla,12.7,Deluxe King Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/823047306.webp?k=b00964cba608395ae8ff26bf36f44d01ef47dbde185334924df856a577a1bfed&o=,12,Kamoke
Marian Hotel,https://www.booking.com/hotel/pk/marian-gujranwala12.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=613806001_240060153_0_1_0&highlighted_blocks=613806001_240060153_0_1_0&matching_block_id=613806001_240060153_0_1_0&sr_pri_blocks=613806001_240060153_0_1_0__1950000&from=searchresults,19500,8.6,18.0,Gujrānwāla,12.1,Deluxe Double Room,1 large double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/240271985.webp?k=080b62c53a115d13ca40a4d4a7482dc4f0656d4be9ea8280ad07f6cd79c4b6c4&o=,12,Kamoke
K Apartments,https://www.booking.com/hotel/pk/k-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1480139201_419467823_2_0_0&highlighted_blocks=1480139201_419467823_2_0_0&matching_block_id=1480139201_419467823_2_0_0&sr_pri_blocks=1480139201_419467823_2_0_0__700000&from=searchresults,7000,,,Kotli Sāhib Singh,11.5,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/734989464.webp?k=ce374d570b3960da5e29cfd367863351b66e8f1b08ee0d45af839afcc4af2c01&o=,4,Kamoke
Avari Boutique Gujranwala,https://www.booking.com/hotel/pk/avari-boutique-gujranwala.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1351755301_407512798_2_41_0&highlighted_blocks=1351755301_407512798_2_41_0&matching_block_id=1351755301_407512798_2_41_0&sr_pri_blocks=1351755301_407512798_2_41_0__2013300&from=searchresults,20133,9.4,63.0,Fattu Mand,15.3,Deluxe Twin Room,1 double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/655710407.webp?k=d157ecda635487ed4cecd6cd275f14df953237ef6f0cdcbdd3d3184cb998c04f&o=,11,Kamoke
Best Western City Center Gujranwala,https://www.booking.com/hotel/pk/best-western-city-center-gujranwala.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1358197902_409733165_0_1_0&highlighted_blocks=1358197902_409733165_0_1_0&matching_block_id=1358197902_409733165_0_1_0&sr_pri_blocks=1358197902_409733165_0_1_0__1760000&from=searchresults,17600,8.0,34.0,Gujrānwāla,18.5,Deluxe Twin Room,2 single beds,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/646233519.webp?k=da31e1011c4ce9a3eab25c7e90f3b934ba64702d79b03acd9399546bbf8ee8ef&o=,11,Kamoke
Elegance Abounds,https://www.booking.com/hotel/pk/elegance-abounds.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1501111601_421787444_2_0_0&highlighted_blocks=1501111601_421787444_2_0_0&matching_block_id=1501111601_421787444_2_0_0&sr_pri_blocks=1501111601_421787444_2_0_0__900000&from=searchresults,9000,9.2,8.0,Qila Malla Singh,17.2,Double Room with Private Bathroom,"4 beds (1 double, 1 large double, 2 futons)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/765272484.webp?k=01e2bbe91a5181898a04bd4f03d78d5c9faf95dd7fdc550efda3d2c8f952f410&o=,4,Kamoke
BHM Faraz hotel,https://www.booking.com/hotel/pk/bhm-faraz.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQzNjNICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKdkcLTBsACAdICJDcxNWJlMTZhLWFlMzEtNDlhZi04NjFkLWNhYzQ3OTY1NzU1YtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764363&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=01ee574ea7d701fd&srepoch=1785759905&all_sr_blocks=1670622702_438846394_2_1_0&highlighted_blocks=1670622702_438846394_2_1_0&matching_block_id=1670622702_438846394_2_1_0&sr_pri_blocks=1670622702_438846394_2_1_0__977415&from=searchresults,9774,,,Theri Sānsi,17.9,Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/885696477.webp?k=118a71ea15487c803890353f860928896d4761bd8c04ed0bc3b2e6c2d368f92b&o=,10,Kamoke
