property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Mehran Hotel Karachi,https://www.booking.com/hotel/pk/mehran-karachi2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=1213963514_0_2_0_0&highlighted_blocks=1213963514_0_2_0_0&matching_block_id=1213963514_0_2_0_0&sr_pri_blocks=1213963514_0_2_0_0__1735637&from=searchresults,17356,7.0,1.0,"Shahrah-e-Faisal, Karachi (Shahrah-e-Faisal)",2.3,Deluxe Twin Room,2 single beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/564432084.webp?k=8e719026f05d7c9ce3b5584f8d8adec026e25c06efaf3490951e7b16c6c1830a&o=,2,Karachi
Ramada by Wyndham Karachi Creek,https://www.booking.com/hotel/pk/ramada-creek.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=197960509_166400072_2_33_0&highlighted_blocks=197960509_166400072_2_33_0&matching_block_id=197960509_166400072_2_33_0&sr_pri_blocks=197960509_166400072_2_33_0__13000&from=searchresults,36124,7.0,588.0,"D.H.A., Karachi (D.H.A.)",7.9,Deluxe King Room - Non-Smoking,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/170835226.webp?k=a23ad1f7a011fd4b6fbbfe464160f3262f3a73f2da08e86f4141ca7ee6666e87&o=,15,Karachi
"Pearl Continental Hotel, Karachi",https://www.booking.com/hotel/pk/pearl-continental-karachi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=41528806_203479126_0_1_0_624604&highlighted_blocks=41528806_203479126_0_1_0_624604&matching_block_id=41528806_203479126_0_1_0_624604&sr_pri_blocks=41528806_203479126_0_1_0_624604_16200&from=searchresults,45017,7.4,1.0,Karachi,3.3,Pearl Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/280190494.webp?k=ea42063ee01332260d0d73ee09eda7d3e88d8e5aab88abb4059a7d3c02021473&o=,16,Karachi
Karachi Marriott Hotel,https://www.booking.com/hotel/pk/karachi-marriott.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=42154008_274564724_2_1_0&highlighted_blocks=42154008_274564724_2_1_0&matching_block_id=42154008_274564724_2_1_0&sr_pri_blocks=42154008_274564724_2_1_0__14500&from_sustainable_property_sr=1&from=searchresults,40293,8.7,860.0,Karachi,3.0,"Deluxe Twin, Guest room, 2 Twin/Single Bed(s)","Deluxe Twin, Guest room, 2 Twin/Single Bed(s)",1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/861112294.webp?k=24dcdce8b92b60d2e0f1949ccb28e1b93ab3ab7f16d52d21133d8b07329b2863&o=,16,Karachi
Karachi Inn Guest House Clifton,https://www.booking.com/hotel/pk/karachi-inn-guest-house-clifton.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=1698807001_441537669_2_1_0&highlighted_blocks=1698807001_441537669_2_1_0&matching_block_id=1698807001_441537669_2_1_0&sr_pri_blocks=1698807001_441537669_2_1_0__595000&from=searchresults,5950,,,Karachi,7.4,Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/901738028.webp?k=f26bd0ee11f9d576e0dd7f6566e1f974153e1e486b2e027dc9a19d899e2017ba&o=,7,Karachi
Ramada Plaza by Wyndham Karachi Airport Hotel,https://www.booking.com/hotel/pk/ramada-plaza-karachi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=125707914_358242706_2_1_0&highlighted_blocks=125707914_358242706_2_1_0&matching_block_id=125707914_358242706_2_1_0&sr_pri_blocks=125707914_358242706_2_1_0__15500&from=searchresults,43071,7.2,896.0,Karachi,11.1,Executive Double Room,1 extra-large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/241146539.webp?k=a3ea99f544f89415133a0823ee622d84a501f5a78c51a5bc5faf4c966a922b6d&o=,14,Karachi
Tribal Lodge,https://www.booking.com/hotel/pk/tribal-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=1491227604_422718023_0_0_0&highlighted_blocks=1491227604_422718023_0_0_0&matching_block_id=1491227604_422718023_0_0_0&sr_pri_blocks=1491227604_422718023_0_0_0__405000&from=searchresults,4050,6.9,48.0,"D.H.A., Karachi (D.H.A.)",9.9,Economy Double or Twin Room,2 single beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/744591259.webp?k=be83664d4f1e6fbb51bf13013fdf40b60c195ddc25ad432ddd898e0157a53fe3&o=,11,Karachi
The Elet Express Luxury Hotel Apartments,https://www.booking.com/hotel/pk/the-elet-express-luxury-apartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=1662466502_438117906_2_1_0&highlighted_blocks=1662466502_438117906_2_1_0&matching_block_id=1662466502_438117906_2_1_0&sr_pri_blocks=1662466502_438117906_2_1_0__675000&from=searchresults,6750,9.2,10.0,"D.H.A., Karachi (D.H.A.)",3.9,Budget Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/880471687.webp?k=d2c0dd9789a5d2d782e03d78e5b6cdac89ba0cf088f37a84dec84c60d6b31d97&o=,8,Karachi
Sea View Suites,https://www.booking.com/hotel/pk/sea-view-suites.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=1464366507_417801680_0_1_0_1276989&highlighted_blocks=1464366507_417801680_0_1_0_1276989&matching_block_id=1464366507_417801680_0_1_0_1276989&sr_pri_blocks=1464366507_417801680_0_1_0_1276989_600000&from=searchresults,6000,5.7,47.0,"Clifton, Karachi",7.4,Deluxe Double Room,1 double bed,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/721264767.webp?k=c8c874d19126199450c293fc68fc425030e9e6f2b969856ef27e624b6b975c7c&o=,9,Karachi
Hotel Excelsior Karachi,https://www.booking.com/hotel/pk/excelsior-karachi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=593160102_0_2_0_0&highlighted_blocks=593160102_0_2_0_0&matching_block_id=593160102_0_2_0_0&sr_pri_blocks=593160102_0_2_0_0__1763981&from=searchresults,17640,8.0,1.0,"Saddar Town, Karachi",2.4,Deluxe Twin Room,2 single beds,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/426108043.webp?k=206970eea19127f329887c7ed960c8601d70dbd53657af296573ac172b6a74d6&o=,11,Karachi
Avari Towers Karachi,https://www.booking.com/hotel/pk/avari-tower-karachi.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NjQ1ODRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAL2i8LTBsACAdICJDM2N2ZjNzMzLWQxZjMtNGIzYy1hNzk4LTM5NDA5M2M3YTk2OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2764584&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=440f55fbd93f0178&srepoch=1785759291&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__15751&from=searchresults,43769,7.7,1.0,Karachi,2.7,Twin Room,2 single beds,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/882147776.webp?k=916022ac06c464d318138d00a9078b2e9beca3e33191acaeed050b3655e0d19a&o=,13,Karachi
