property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Royal Executive Inn Guest House Peshawar,https://www.booking.com/hotel/pk/royal-executive-inn-guest-house-peshawar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1561086902_427199691_2_2_0&highlighted_blocks=1561086902_427199691_2_2_0&matching_block_id=1561086902_427199691_2_2_0&sr_pri_blocks=1561086902_427199691_2_2_0__630000&from=searchresults,6300,8.2,47.0,Peshawar,5.4,Double Room,1 double bed,0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/806286097.webp?k=96ab4b1b79971e61b77abccc9f204f9341ff9c697311114124dbb1b376478158&o=,8,Peshawar
Hotel City View Peshawar,https://www.booking.com/hotel/pk/city-view-peshawar-peshawar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1364856602_408784589_2_1_0_822545&highlighted_blocks=1364856602_408784589_2_1_0_822545&matching_block_id=1364856602_408784589_2_1_0_822545&sr_pri_blocks=1364856602_408784589_2_1_0_822545_850000&from=searchresults,8500,7.7,177.0,Peshawar,5.6,Deluxe Double or Twin Room with City View,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/749223660.webp?k=8524306efde53e769e3790b36df9edef15325a4fa2a542281f94b9b68349b87b&o=,10,Peshawar
Grand Berkshire Hotel Peshawar,https://www.booking.com/hotel/pk/grand-berkshire-peshawar1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1607875701_431708855_2_41_0&highlighted_blocks=1607875701_431708855_2_41_0&matching_block_id=1607875701_431708855_2_41_0&sr_pri_blocks=1607875701_431708855_2_41_0__840000&from=searchresults,8400,9.2,46.0,Peshawar,5.6,Deluxe Double Room,1 large double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/892853992.webp?k=e579411260c1b45b91955e3a8ebbb399bf0e24a4da6bfd2fe6b95be8b014cc52&o=,12,Peshawar
Peshawar Serena Hotel,https://www.booking.com/hotel/pk/peshawar-serena.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=939861701_366275053_2_41_0&highlighted_blocks=939861701_366275053_2_41_0&matching_block_id=939861701_366275053_2_41_0&sr_pri_blocks=939861701_366275053_2_41_0__10500&from=searchresults,29177,7.8,148.0,Peshawar,3.4,Deluxe Room,1 double bed,1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/787236431.webp?k=43ff5969fee3c09083f94463cb00276ddbc1cfa817e23f4313b447b7f62c7451&o=,11,Peshawar
Peshawar Barracks Hotel Estb-1867,https://www.booking.com/hotel/pk/peshawar-barracks-peshawar1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1139158603_421164740_2_1_0&highlighted_blocks=1139158603_421164740_2_1_0&matching_block_id=1139158603_421164740_2_1_0&sr_pri_blocks=1139158603_421164740_2_1_0__2040000&from=searchresults,20400,8.9,295.0,Peshawar,2.0,Deluxe Double or Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/521017895.webp?k=f02373728004881a8359fb7b92d3f3307faf052ace4206df77336f05c2827c67&o=,15,Peshawar
Crown Castle Peshawar,https://www.booking.com/hotel/pk/crown-castle-peshawar-peshawar1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1142318901_387066128_2_1_0&highlighted_blocks=1142318901_387066128_2_1_0&matching_block_id=1142318901_387066128_2_1_0&sr_pri_blocks=1142318901_387066128_2_1_0__620000&from=searchresults,6200,6.9,128.0,Peshawar,5.3,Deluxe Double or Twin Room,2 single beds,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/522494185.webp?k=b4bc5b597474223ecb2d2c4f5f671732ced19afd7a9f6cf20686c00825b3a90a&o=,10,Peshawar
Regency Guest House Peshawar,https://www.booking.com/hotel/pk/regency-guest-house-peshawar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1599264811_430915922_2_2_0&highlighted_blocks=1599264811_430915922_2_2_0&matching_block_id=1599264811_430915922_2_2_0&sr_pri_blocks=1599264811_430915922_2_2_0__500000&from=searchresults,5000,9.0,23.0,Peshawar,5.6,Double Room,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/843537570.webp?k=eefdc65e9a75aa5938af52a81f73f7291270689d34081d087b7fa3efb0612011&o=,4,Peshawar
Shelton Legacy Peshawar,https://www.booking.com/hotel/pk/shelton-legacy-peshawar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1363065306_408598201_0_1_0&highlighted_blocks=1363065306_408598201_0_1_0&matching_block_id=1363065306_408598201_0_1_0&sr_pri_blocks=1363065306_408598201_0_1_0__880000&from=searchresults,8800,8.6,45.0,Peshawar,5.6,Deluxe Twin Room,2 single beds,1,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/648982327.webp?k=84dc9036273cc0f32621da107e72799c6ec00b08eb550b7858db500a3a993862&o=,12,Peshawar
Sina Lodges and Guest house,https://www.booking.com/hotel/pk/sina-lodges-and-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1569254003_441078165_2_1_0&highlighted_blocks=1569254003_441078165_2_1_0&matching_block_id=1569254003_441078165_2_1_0&sr_pri_blocks=1569254003_441078165_2_1_0__550000&from=searchresults,5500,6.1,11.0,Peshawar,9.9,Small Twin Room,2 single beds,1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/816422414.webp?k=d6ebde3d6caf4264ec5e73e75f4b8449600a2be0f7a9e8997b770575c0b2d1b3&o=,9,Peshawar
Peaceful Stay In Peshawar,https://www.booking.com/hotel/pk/grane-sapphire-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzEzNjRICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALDlcLTBsACAdICJDM0Y2YzZmRkLTIwNTYtNGE4NC04OGE0LTJiNDkyMTE0Y2Q3ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2771364&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=88775861f7e800fa&srepoch=1785760462&all_sr_blocks=1580359504_429137413_2_0_0&highlighted_blocks=1580359504_429137413_2_0_0&matching_block_id=1580359504_429137413_2_0_0&sr_pri_blocks=1580359504_429137413_2_0_0__760000&from=searchresults,7600,9.0,16.0,Peshawar,4.0,Deluxe Double or Twin Room,2 single beds,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/842002772.webp?k=c122f478666e82d565bba8cf05bfee9fc8ac876dccf84b485b9c1136fa34fe4d&o=,13,Peshawar
