property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Hotel One Sahiwal,https://www.booking.com/hotel/pk/one-sahiwal.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=689147501_405599460_0_1_0&highlighted_blocks=689147501_405599460_0_1_0&matching_block_id=689147501_405599460_0_1_0&sr_pri_blocks=689147501_405599460_0_1_0__1600000&from=searchresults,16000,8.9,259.0,Sāhīwāl,4.1,Deluxe Queen Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/288149092.webp?k=8d96baf34d4e7dbcc4040f70c6dd96af3031582a68075fce4f46f9c77d0eca30&o=,12,Sahiwal
Swarg Hotel,https://www.booking.com/hotel/pk/swarg.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1278675306_403964306_2_1_0&highlighted_blocks=1278675306_403964306_2_1_0&matching_block_id=1278675306_403964306_2_1_0&sr_pri_blocks=1278675306_403964306_2_1_0__1100000&from=searchresults,11000,8.4,49.0,Sāhīwāl,1.0,Deluxe Double Room (2 Adults + 1 Child),1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/610485315.webp?k=b6c8c7d3b177ccf2a41455bc9acb9fec8a3df4b520490f802117d3b84cd685c8&o=,12,Sahiwal
BIA RESIDENCEs,https://www.booking.com/hotel/pk/bia-residences.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1578449401_428955150_4_0_0&highlighted_blocks=1578449401_428955150_4_0_0&matching_block_id=1578449401_428955150_4_0_0&sr_pri_blocks=1578449401_428955150_4_0_0__700000&from=searchresults,7000,9.3,3.0,Sāhīwāl,1.6,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/820638441.webp?k=88b032071f87b02b36b3c8cce18692c987fbb4ed979466370350d684e160e54b&o=,4,Sahiwal
BIA RESIDENCe,https://www.booking.com/hotel/pk/bia-residence-sahiwal.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1583394001_429451582_7_0_0&highlighted_blocks=1583394001_429451582_7_0_0&matching_block_id=1583394001_429451582_7_0_0&sr_pri_blocks=1583394001_429451582_7_0_0__800000&from=searchresults,8000,10,1.0,Sāhīwāl,1.6,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/825509730.webp?k=1de22bdea42bb311378b8e9a20953dbfd60a7789a0f072c78c790fbee0846e2d&o=,4,Sahiwal
Bia Residence,https://www.booking.com/hotel/pk/bia-residence-sahiwal1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1584941201_429621131_10_0_0&highlighted_blocks=1584941201_429621131_10_0_0&matching_block_id=1584941201_429621131_10_0_0&sr_pri_blocks=1584941201_429621131_10_0_0__800000&from=searchresults,8000,8.0,3.0,Sāhīwāl,1.6,Two-Bedroom Apartment,"7 beds (3 doubles, 3 sofa beds, 1 futon)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/826286839.webp?k=bd7eb760c34d15210880caa90f12d1bc0e31638e82463073675bf31582c6494b&o=,4,Sahiwal
BIA RESiDENCE,https://www.booking.com/hotel/pk/bia-residence-sahiwal4.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1613492401_432238584_5_0_0&highlighted_blocks=1613492401_432238584_5_0_0&matching_block_id=1613492401_432238584_5_0_0&sr_pri_blocks=1613492401_432238584_5_0_0__850000&from=searchresults,8500,10,1.0,Sāhīwāl,1.4,One-Bedroom Apartment,"6 beds (3 doubles, 3 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/848910262.webp?k=57907d2338d9d2b95dfef2d5de07a925cd6e7b2c1a43fc69ce9a0c492dd7bce1&o=,4,Sahiwal
BIA RESIDENCEs,https://www.booking.com/hotel/pk/bia-residences-sahiwal1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1580937801_429188896_3_0_0&highlighted_blocks=1580937801_429188896_3_0_0&matching_block_id=1580937801_429188896_3_0_0&sr_pri_blocks=1580937801_429188896_3_0_0__750000&from=searchresults,7500,2.5,2.0,Sāhīwāl,1.6,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/822608962.webp?k=cc7e043f3b28e93372b6337cc6f6bcb1ea1d2d0b2e62f8e2193f31551e11214f&o=,4,Sahiwal
Bia Residence,https://www.booking.com/hotel/pk/bia-residence-sahiwal2.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1586602901_429775334_9_0_0&highlighted_blocks=1586602901_429775334_9_0_0&matching_block_id=1586602901_429775334_9_0_0&sr_pri_blocks=1586602901_429775334_9_0_0__850000&from=searchresults,8500,10,1.0,Sāhīwāl,1.6,Two-Bedroom Apartment,"6 beds (3 doubles, 1 sofa bed, 2 futons)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/827125724.webp?k=69bfc5152771518edf9eafc32de2699eaa82ead8c9f15b170db82c087c4d269a&o=,4,Sahiwal
BIA RESIDENCe,https://www.booking.com/hotel/pk/bia-residence-sahiwal3.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1598088501_430823896_6_0_0&highlighted_blocks=1598088501_430823896_6_0_0&matching_block_id=1598088501_430823896_6_0_0&sr_pri_blocks=1598088501_430823896_6_0_0__950000&from=searchresults,9500,,,Sāhīwāl,1.4,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/836267383.webp?k=7c3f57c18d45dfc15c9908f3096fe46b9151f13537215444da0fc623b5eced48&o=,4,Sahiwal
BIA RESIDENCe,https://www.booking.com/hotel/pk/bia-residence.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzMwMzlICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKEkMLTBsACAdICJDhmYjcxZWVlLTEyYTItNDdkNC04ZjJkLTU2MjcxODEzN2M4MdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2773039&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=831e5702e5c10214&srepoch=1785759754&all_sr_blocks=1582280901_429342810_4_0_0&highlighted_blocks=1582280901_429342810_4_0_0&matching_block_id=1582280901_429342810_4_0_0&sr_pri_blocks=1582280901_429342810_4_0_0__800000&from=searchresults,8000,,,Sāhīwāl,1.6,One-Bedroom Apartment,"3 beds (1 double, 2 sofa beds)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/824899576.webp?k=ee7cfd06c1d970c20545256d027a8033be662eab78181f1d90731eb0086a449e&o=,4,Sahiwal
