property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Premium Furnished Stay In Bahria Town,https://www.booking.com/hotel/pk/premium-furnished-stay-in-bahria-town.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1620658201_432888256_2_0_0&highlighted_blocks=1620658201_432888256_2_0_0&matching_block_id=1620658201_432888256_2_0_0&sr_pri_blocks=1620658201_432888256_2_0_0__765000&from=searchresults,7650,8.7,10.0,Lahore,15.0,Deluxe One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/870693015.webp?k=a47afafd060231c1e3ceabe22e0fe69111d663de3cf3d92861fe3286402eb0d2&o=,13,Shorkot
Mukhtar Homes Bahria Town Lahore,https://www.booking.com/hotel/pk/mukhtar-homes.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__707760&from=searchresults,7078,8.4,161.0,Lahore,14.8,Pent House,1 extra-large double bed,0,1,0,https://cf.bstatic.com/xdata/images/hotel/square240/628073946.webp?k=2c1cde3453a489a73bcb63807b3b4559389ccd41706040cb74ce8267b47e0a0a&o=,12,Shorkot
stunning studio apartment,https://www.booking.com/hotel/pk/studio-luxury-apartment-lahore1.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1296957401_402601273_2_0_0&highlighted_blocks=1296957401_402601273_2_0_0&matching_block_id=1296957401_402601273_2_0_0&sr_pri_blocks=1296957401_402601273_2_0_0__487350&from=searchresults,4874,1.0,2.0,Rāmkot,14.8,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/609979711.webp?k=968fb340b784c8ec93dc5511456ff91fdf64100f820b752b64cc22f525e86dd1&o=,4,Shorkot
1BHK Elite Apartment Bahria Lahore,https://www.booking.com/hotel/pk/angelas-luxury-apartment-bahria-town.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1613256904_432221017_3_0_0&highlighted_blocks=1613256904_432221017_3_0_0&matching_block_id=1613256904_432221017_3_0_0&sr_pri_blocks=1613256904_432221017_3_0_0__560800&from=searchresults,5608,8.5,6.0,Lahore,14.9,One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/896033093.webp?k=516b143e8c082d031a32be2925703c3600fe13b1cd887150e12b386cf045afbe&o=,13,Shorkot
Designer Apartment Near KFC,https://www.booking.com/hotel/pk/modern-era-apartment-2bhk-with-magical-lights-in-pearl-one-tower-bahria-town.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1547387903_425981957_2_0_0_1404873&highlighted_blocks=1547387903_425981957_2_0_0_1404873&matching_block_id=1547387903_425981957_2_0_0_1404873&sr_pri_blocks=1547387903_425981957_2_0_0_1404873_680000&from=searchresults,6800,9.0,60.0,Lahore,14.9,Deluxe One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/793439386.webp?k=af04fa84495971ae6bb9c694230479812395dd61df4a546166b5ff4e508802f2&o=,13,Shorkot
Luxury 1 Bedroom Apartment Bahria Town Lahore Kitchen Free WiFi Self Check In & Free Parking,https://www.booking.com/hotel/pk/comfort-corner-stay-bahria-lahore.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1620674901_432889460_2_0_0&highlighted_blocks=1620674901_432889460_2_0_0&matching_block_id=1620674901_432889460_2_0_0&sr_pri_blocks=1620674901_432889460_2_0_0__1056000&from=searchresults,10560,9.9,11.0,Lahore,15.0,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/878907452.webp?k=b095bc8979876c8399929cb74b0f559921f9e862bf709da374b248e36bcde84c&o=,6,Shorkot
Con Stay Luxury Apartments Bahria Town Lahore,https://www.booking.com/hotel/pk/elegant-1br-lahore-bahria-town-with-free-parking.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1071345302_394452096_2_0_0&highlighted_blocks=1071345302_394452096_2_0_0&matching_block_id=1071345302_394452096_2_0_0&sr_pri_blocks=1071345302_394452096_2_0_0__617500&from=searchresults,6175,7.4,24.0,Lahore,14.8,One-Bedroom Apartment,"2 beds (1 sofa bed, 1 large double)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/490488746.webp?k=50cb36d39d5c9fdc4d60e20124cbf8c66ba614c8c70cb9a68384aecf458687f7&o=,13,Shorkot
Bahria Grand Hotel & Resort,https://www.booking.com/hotel/pk/bahria-grand-amp-resort.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=117002201_347117511_2_41_0&highlighted_blocks=117002201_347117511_2_41_0&matching_block_id=117002201_347117511_2_41_0&sr_pri_blocks=117002201_347117511_2_41_0__2989800&from=searchresults,29898,6.7,100.0,Lahore,13.6,Grand Deluxe Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/36733710.webp?k=313128147357e0a440247122c21c84a21aa7ee6d7d50f7c12682fa2d4e8529a3&o=,12,Shorkot
Peace appartments,https://www.booking.com/hotel/pk/peace-appartments.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1641290601_434349164_2_0_0&highlighted_blocks=1641290601_434349164_2_0_0&matching_block_id=1641290601_434349164_2_0_0&sr_pri_blocks=1641290601_434349164_2_0_0__680000&from=searchresults,6800,10,1.0,Lahore,14.6,Two-Bedroom Apartment,"3 beds (2 extra-large doubles, 1 sofa bed)",0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/867834860.webp?k=332e0a5452a9f40a3015ac452c800eb5f610189196997bcb5ff6e6eadc4f7ac9&o=,4,Shorkot
Stunning studio apartment,https://www.booking.com/hotel/pk/stunning-studio-apartment.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCCmNpdHlfMzU1NzVICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuALAkcLTBsACAdICJGZkNjZkNGNmLTNhZGQtNDIyYS04YWIwLTdkZGFkMjg0NzdlMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=35575&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3fbf57600a54002b&srepoch=1785760005&all_sr_blocks=1451375501_416494807_2_0_0&highlighted_blocks=1451375501_416494807_2_0_0&matching_block_id=1451375501_416494807_2_0_0&sr_pri_blocks=1451375501_416494807_2_0_0__550000&from=searchresults,5500,8.0,1.0,Lahore,14.8,One-Bedroom Apartment,1 double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/708752335.webp?k=f07c2631d210088c4799271b53929b5d3b3b30e886b01ac4ec32479741700516&o=,4,Shorkot
