property_name,property_url,Price_pkr,review_score,review_count,address,distance_from_center_km,property_type,bed_type,breakfast_included,free_cancellation,reserve_without_payment,image,stars,city
Northlanders Guest House Skardu,https://www.booking.com/hotel/pk/northlander-guest-house.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1235782705_423403189_2_2_0&highlighted_blocks=1235782705_423403189_2_2_0&matching_block_id=1235782705_423403189_2_2_0&sr_pri_blocks=1235782705_423403189_2_2_0__665000&from=searchresults,6650,9.8,69.0,Skardu,2.1,Budget Double Room,1 large double bed,0,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/732927115.webp?k=c15dec7dc249329e74255622322ed732cb2ade0601582ccba1999c9a59275262&o=,10,Skardu
Hotel Mashabrum Skardu Free Breakfast Mountain View Family Rooms & Free WiFi,https://www.booking.com/hotel/pk/mashabrum-skardu.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1681498601_439917601_2_1_0&highlighted_blocks=1681498601_439917601_2_1_0&matching_block_id=1681498601_439917601_2_1_0&sr_pri_blocks=1681498601_439917601_2_1_0__1239300&from=searchresults,12393,9.2,13.0,Skardu,0.7,Queen Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/897022101.webp?k=ab4fb39c6bd3c94b21446449a0e1f7012c87ca93e605920e80b7523440786cbb&o=,11,Skardu
PC Legacy Skardu,https://www.booking.com/hotel/pk/pc-legacy-skardu.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1299274301_409155017_2_1_0&highlighted_blocks=1299274301_409155017_2_1_0&matching_block_id=1299274301_409155017_2_1_0&sr_pri_blocks=1299274301_409155017_2_1_0__12500&from=searchresults,34735,7.7,69.0,Skardu,8.5,Standard King Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/607398286.webp?k=c3ed19595f4d8afa9df46b034b697080dc32ce106e177ec8c61a94b05230bd96&o=,12,Skardu
Himmel Skardu By Luxus,https://www.booking.com/hotel/pk/himmel-skardu-by-luxus.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1176125801_0_2_1_0&highlighted_blocks=1176125801_0_2_1_0&matching_block_id=1176125801_0_2_1_0&sr_pri_blocks=1176125801_0_2_1_0__4805653&from=searchresults,48057,9.3,145.0,Skardu,19.9,Deluxe King Room,1 double bed,1,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/542161266.webp?k=cb6b12a8151139d9ea7c310acb1962f3516b3ffeab38d7fb8c505ae762b9100a&o=,12,Skardu
HIKK Inn Skardu,https://www.booking.com/hotel/pk/hikk-inn.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=889515507_432103243_2_2_0_920315&highlighted_blocks=889515507_432103243_2_2_0_920315&matching_block_id=889515507_432103243_2_2_0_920315&sr_pri_blocks=889515507_432103243_2_2_0_920315_522500&from=searchresults,5225,9.8,94.0,Skardu,2.0,Standard Queen Room,2 single beds,0,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/718345448.webp?k=f34378ad74c4c2624962b1f124dd691c53107b50e7b83ab138a8e933f3d19902&o=,12,Skardu
Tibet Hotel,https://www.booking.com/hotel/pk/tibet.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=894277901_359830652_0_1_0&highlighted_blocks=894277901_359830652_0_1_0&matching_block_id=894277901_359830652_0_1_0&sr_pri_blocks=894277901_359830652_0_1_0__3500000&from=searchresults,35000,7.7,69.0,Skardu,6.6,Double Room with Lake View,"2 beds (1 double, 1 sofa bed)",1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/834276227.webp?k=bd9538d042ba71277ca7d283d3c203409ed53b08d3e853cba060db37b04addb2&o=,3,Skardu
Fialong Hotel Skardu,https://www.booking.com/hotel/pk/fialong.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1489427202_420595463_0_2_0&highlighted_blocks=1489427202_420595463_0_2_0&matching_block_id=1489427202_420595463_0_2_0&sr_pri_blocks=1489427202_420595463_0_2_0__445500&from=searchresults,4455,8.6,23.0,Skardu,3.1,Twin Room,"3 beds (2 singles, 1 futon)",0,0,0,https://cf.bstatic.com/xdata/images/hotel/square240/851158447.webp?k=dfb780315e71f04c1d72cc9cb58e525f5c97b9dffc459912c49f10cde1da3a39&o=,11,Skardu
Comfort Hotel & Huts,https://www.booking.com/hotel/pk/comfort-amp-huts.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1407631103_412659614_2_1_0&highlighted_blocks=1407631103_412659614_2_1_0&matching_block_id=1407631103_412659614_2_1_0&sr_pri_blocks=1407631103_412659614_2_1_0__850000&from=searchresults,8500,8.1,32.0,Skardu,0.6,Budget Double Room,1 double bed,1,1,1,https://cf.bstatic.com/xdata/images/hotel/square240/678823070.webp?k=44224281d6d55420ee1dcc2389d5fb248a95d20afd1115483f9e9e1f225ea2dc&o=,4,Skardu
FortuNorth,https://www.booking.com/hotel/pk/fortunorth.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1359546207_439804583_0_1_0&highlighted_blocks=1359546207_439804583_0_1_0&matching_block_id=1359546207_439804583_0_1_0&sr_pri_blocks=1359546207_439804583_0_1_0__5608726&from=searchresults,56087,8.4,34.0,Skardu,19.3,Villa,1 extra-large double bed,1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/707998824.webp?k=f1a35982e9f987c2a031291b621df213a34be96718aacb2d9944c095bf6d8481&o=,15,Skardu
Khar Hotel,https://www.booking.com/hotel/pk/khar.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDWNpdHlfLTI3NzQ5MTZICVgEaLUBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK4mcLTBsACAdICJGZiMDA1OWE3LWM4MDItNDViMy04NDUxLTZiNzEyZGFhOTdjMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-08-06&checkout=2026-08-07&dest_id=-2774916&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6f6c595cd676049e&srepoch=1785760971&all_sr_blocks=1477719102_430897575_3_1_0&highlighted_blocks=1477719102_430897575_3_1_0&matching_block_id=1477719102_430897575_3_1_0&sr_pri_blocks=1477719102_430897575_3_1_0__3500000&from=searchresults,35000,9.5,35.0,Skardu,2.8,Double or Twin Room,"2 beds (1 single, 1 double)",1,0,1,https://cf.bstatic.com/xdata/images/hotel/square240/732806217.webp?k=8a5ca9911d9a58e10a77d1a38c54110da59980d5c577f30655bc86a48e36a890&o=,11,Skardu
