query,matched_title,label,dest_id,dest_type,country_code,source,latitude,longitude
Islamabad,Islamabad,"Islamabad, Islamabad Capital Territory, Pakistan",-2762812,CITY,pk,BRICK,33.728931427002,73.092414855957
Karachi,Karachi,"Karachi, Sindh, Pakistan",-2764584,CITY,pk,BRICK,24.86669921875,67.0500030517578
Lahore,Lahore,"Lahore, Punjab Region, Pakistan",-2767043,CITY,pk,BRICK,31.5621891021729,74.3228530883789
Faisalabad,Faisalabad,"Faisalabad, Punjab Region, Pakistan",-2759985,CITY,pk,BRICK,31.4167003631592,73.0832977294922
Rawalpindi,Rawalpindi,"Rawalpindi, Punjab Region, Pakistan",-2772585,CITY,pk,BRICK,33.5999984741211,73.0667037963867
Multan,Multan,"Multan, Punjab Region, Pakistan",-2769709,CITY,pk,BRICK,30.1956005096436,71.4753036499023
Gujranwala,Gujrānwāla,"Gujrānwāla, Punjab Region, Pakistan",-2761741,CITY,pk,BRICK,32.1500015258789,74.1832962036133
Sialkot,Sialkot,"Sialkot, Punjab Region, Pakistan",-2774710,CITY,pk,BRICK,32.5,74.5167007446289
Bahawalpur,Bahawalpur,"Bahawalpur, Punjab Region, Pakistan",-2755460,CITY,pk,BRICK,29.3999996185303,71.6832962036133
Sargodha,Sargodha,"Sargodha, Punjab Region, Pakistan",-2773597,CITY,pk,BRICK,32.0835990905762,72.6710968017578
Jhang,Jhang Sadr,"Jhang Sadr, Punjab Region, Pakistan",-2763544,CITY,pk,BRICK,31.2742004394531,72.311897277832
Gujrat,Gujrāt,"Gujrāt, Punjab Region, Pakistan",-2761749,CITY,pk,BRICK,32.5666999816895,74.0832977294922
Okara,Okāra,"Okāra, Punjab Region, Pakistan",-2770831,CITY,pk,BRICK,30.8080997467041,73.44580078125
Sahiwal,Sāhīwāl,"Sāhīwāl, Punjab Region, Pakistan",-2773039,CITY,pk,BRICK,30.6667003631592,73.0999984741211
Dera Ghazi Khan,Dera Ghāzi Khān,"Dera Ghāzi Khān, Punjab Region, Pakistan",-2759087,CITY,pk,BRICK,30.0561008453369,70.6343994140625
Mianwali,Miānwāli,"Miānwāli, Punjab Region, Pakistan",-2769101,CITY,pk,BRICK,31.88330078125,73.0999984741211
Sadiqabad,Sadiqabad,"Sadiqabad, Punjab Region, Pakistan",-2772932,CITY,pk,BRICK,28.2999992370605,70.13330078125
Burewala,Burewāla,"Burewāla, Punjab Region, Pakistan",6122097,CITY,pk,BRICK,29.8999996185303,70.6027984619141
Khanewal,Khānewāla,"Khānewāla, Punjab Region, Pakistan",6053492,CITY,pk,BRICK,30.2332992553711,71.511100769043
Hafizabad,Hāfizābad,"Hāfizābad, Punjab Region, Pakistan",6096485,CITY,pk,BRICK,32.2318992614746,73.0749969482422
Muzaffargarh,Muzaffargarh,"Muzaffargarh, Punjab Region, Pakistan",-2769931,CITY,pk,BRICK,30.0666999816895,71.1999969482422
Chiniot,Chiniot,"Chiniot, Punjab Region, Pakistan",-2758272,CITY,pk,BRICK,31.7199993133545,72.9788970947266
Kamoke,Kāmoke,"Kāmoke, Punjab Region, Pakistan",-2764363,CITY,pk,BRICK,31.9743995666504,74.2244033813477
Jhelum,Jhelum,"Jhelum, Punjab Region, Pakistan",-2763572,CITY,pk,BRICK,32.9333000183105,73.7332992553711
Shorkot,Shorkot,"Shorkot, Punjab Region, Pakistan",35575,CITY,pk,BRICK,31.3988990783691,74.0317001342773
Muridke,Murīdke,"Murīdke, Punjab Region, Pakistan",-2769843,CITY,pk,BRICK,31.8024997711182,74.2617034912109
Attock,Attock City,"Attock City, Punjab Region, Pakistan",-2755087,CITY,pk,BRICK,33.7722015380859,72.3683013916016
Toba Tek Singh,Toba Tek Singh,"Toba Tek Singh, Punjab Region, Pakistan",-2776385,CITY,pk,BRICK,30.9666996002197,72.4832992553711
